rank,artist,title,region,language,spotify_uri,streams,weeks_on_chart,peak_rank,lyrics
Пофиг, давай выспимся, е
(Семь дней в неделю, о)

Понедельник, вторник, среда, четверг, пятница, суббота, воскресенье (Неделя)
Понедельник, вторник, среда, четверг, пятница
Семь дней в неделю
Каждый час, каждую минуту, каждую секунду (О-о-о)
Ты знаешь, ночь за ночью
Я буду трахать тебя правильно
Семь дней в неделю (О)
Понедельник, вторник, среда, четверг, пятница, суббота, воскресенье (неделя)
Понедельник, вторник, среда, четверг, пятница (О, о, о, о, о)
Семь дней в неделю
Каждый час, каждую минуту, каждую секунду (Час, минуту, секунду)
Ты знаешь, ночь за ночью
Я буду трахать тебя правильно
Семь дней в неделю"
83,Bruno Mars,Dance With Me,Global,latin,1myZ6GQewhAzMH2dKtKSWK,11345856,1,83,"Ooh-ooh-ooh, ooh, ooh, ooh, ooh (Mm)
Ooh-ooh-ooh, ooh, ooh, ooh

Dance with me, darling
Just one more time
Take my hand and let's just slow dance all night
Girl, you know I'm hoping
Hoping when the music ends
You and I will fall in love all over again

Dance with me, darling
Just one more time
Put your pride aside, right here next to mine
Girl, you know I'm hoping
Hoping when the music ends
You and I will fall in love all over again, yeah

(All the stars) All the stars are out tonight
Ooh, maybe they'll shine a little light
Help us find what we're trying to find
It's been so long since I held you tight
I won't lеt you go 'til we get it right

Will you dance with mе, darling?
One more time

It's the only thing that we ain't try
Girl, you know I'm hoping
Hoping when the music ends
You and I (You and I) will fall in love (Fall in love)

All over again
(Ooh-ooh-ooh, ooh, ooh, ooh, ooh)
All over again
(Ooh-ooh-ooh, ooh, ooh, ooh, ooh)

Will you dance with me, darling? (Dance with me, darling, dance with me just one more time)
Please, please, please
(Dance with me, darling, dance with me just one more time) Oh, just one more time
(Dance with me, darling, dance with me just one more time)
Oh, I gotta let you know, baby, I still love you (Dance with me, darling, dance with me just one more time)
And I don't wanna dance with nobody, nobody, nobody but you (Dance with me, darling, dance with me just one more time)
Nobody but you (Dance with me, darling, dance with me just one more time)
Ooh (Dance with me, darling, dance with me just one more time)
Ooh-ooh, ooh"
84,Michael Jackson,Billie Jean,Global,latin,7J1uxwnxfQLu4APicE5Rnj,11275762,41,48,"She was more like a beauty queen from a movie scene, uh
I said, ""Don't mind, but what do you mean, I am the one?
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor in the round?
She told me her name was Billie Jean as she caused a scene
Then every head turned with eyes that dreamed of bein' the one, uh
Who will dance on the floor in the round?

People always told me, ""Be careful of what you do,"" uh
""And don't go around breakin' young girls' hearts"" (Hee-hee)
And mother always told me, ""Be careful of who you love
And be careful of what you do (Oh, oh)
'Cause the lie becomes the truth"" (Oh, oh), hey

Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (Oh, baby)
But the kid is not my son (Woo)
Uh, she says I am the one (Oh, baby)
But the kid is not my son (Hee-hee-hee; no, no)
(Hee-hee-hee, woo)

For forty days and for forty nights, the law was on her side
But who can stand when she's in demand? Her schemes and plans
'Cause we danced on the floor in the round (Hee, uh, uh)
So take my strong advice
Just remember to always think twice (Don't think twice)
Do think twice (A-hoo)
She told my baby we danced 'til three, then she looked at me
Then showed a photo of a baby cryin', his eyes were like mine (Oh, no)
'Cause we danced on the floor in the round, baby (Ooh, hee-hee-hee)

People always told me, ""Be careful of what you do,"" uh
""And don't go around breakin' young girls' hearts"" (Don't break no hearts; hee-hee)
But she came and stood right by me
Just the smell of sweet perfume (Ha-oh)
This happened much too soon (Ha-oh, ha-ooh)
She called me to her room (Ha-oh, hoo), hey

Billie Jean is not my lover (Woo)
She's just a girl who claims that I am the one, uh
But the kid is not my son, uh
No-no-no, uh, no-no-no, no-no-no (Woo)
Billie Jean is not my lover, uh
She's just a girl who claims that I am the one
But the kid is not my son (No, no)
She says I am the one (Oh, baby)
But the kid is not my son (No, hee-hee-hee)
(Ah-hee-hee-hee)

Hee, hoo
(Chicka-boom, chicka-boom, chicka-boom, chicka-boom)

She says I am the one, uh
But the kid is not my son (No-no-no, woo, uh)
Billie Jean is not my lover, uh
She's just a girl who claims that I am the one (You know what you did to me, baby)
But the kid is not my son
No-no-no (No-no-no, ah), no-no-no-no (No-no-no)
She says I am the one (No, baby)
But the kid is not my son (No-no-no-no; woo, uh)

She says I am the one (You know what you did)
She says he is my son (Breakin' my heart, babe)
She says I am the one
Yeah, yeah, Billie Jean is not my lover, uh
Yeah, Billie Jean is not my lover, uh
Yeah, Billie Jean is not my lover, uh (She is just a girl)
Yeah, Billie Jean is not my lover, uh (She is just a girl; don't call me Billie Jean, hoo)
Billie Jean is not my lover, uh (She is just a girl; she's not at the scene)
Billie Jean is not (Hee), aaow, ooh
Yeah, Billie Jean is"
85,Nadhif Basalamah,kota ini tak sama tanpamu,Global,latin,13CwOTXUgBugeBByE9oIWb,11254940,9,48,"Perjalanan melintasi kota ini
Dua langit, dua hari kau temani aku di sini
Jatuh cinta memang manis
Tak mau waktu ini habis

Penuhilah hati ini tak lagi sendiri
Oh, dengannya, dengan dia
Langkahku sempurna
Jatuh cinta memang manis
Apalagi ada kamu di sini

Genggam tanganku sayang
Kota ini tak sama tanpamu
Masih rasa ingin lagi habiskan waktu di sini
Mungkin tiga atau empat hari lagi

Penuhilah rencanamu bersamaku lagi
Oh, denganmu terasa cepat berlalu
Belum puas ingin lebih tahu jalanan kotamu
Jatuh cinta memang lain
Apalagi ada kamu di sini

Genggam tanganku sayang
Kota ini tak sama tanpamu
Masih rasa ingin lagi habiskan waktu di sini
Mungkin tiga atau empat hari lagi


Genggam tanganku sayang
Kota ini tak sama tanpamu
Masih rasa ingin lagi habiskan waktu di sini
Mungkin tiga atau empat hari lagi
Genggam tanganku sayang
Kota ini tak sama tanpamu
Masih rasa ingin lagi habiskan waktu di sini
Mungkin tiga atau empat hari lagi, oh

Atau mungkin selamanya?
Rumahku hanyalah kita
Kau dan aku sempurna di mana-mana"
86,Lord Huron,The Night We Met,Global,latin,5yJaXWIErrrsjQ3J0eR5aK,11131031,176,15,"(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)

I am not the only traveler
Who has not repaid his debt
I've been searching for a trail to follow again
Take me back to the night we met
And then I can tell myself
What the hell I'm supposed to do
And then I can tell myself
Not to ride along with you

I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Oh, take me back to the night we met

When the night was full of terrors
And your eyes were filled with tears
When you had not touched me yet
Oh, take me back to the night we met

I had all and then most of you
Some and now none of you
Take me back to the night we met
I don't know what I'm supposed to do
Haunted by the ghost of you
Take me back to the night we met"
87,"Peso Pluma, Tito Double P",daño,Global,latin,136BeIIoBGrrU9fI1jbcDR,11125907,10,32,"Daño, daño, daño, daño
Daño, daño, daño, daño
Daño, daño
Daño, daño
Daño

Solo una noche bastó pa' que me dejara
De mí ya no quiere nada, que está cansada
Muy agotada, y que a la chingada
No habrá reproches
Bueno, no prometo nada
Tal vez hoy tomo, y ya bien loco
Te fundo el cel, la llamada

Hey
¿Qué quieres?

¿Por qué se siente tan extraño
Llegar y no sentir tus labios?
Quiero tenerte al lado mío
Te juro que a veces ya no sonrío
Ven, mami, ven, dame la mano
Vámonos de este mundo extraño
Llené de lágrimas el paño
Te amo aunque me hagas tanto fucking daño

Daño, daño, daño, daño
Daño, daño, daño, daño
Daño, daño
Daño, daño
Daño

¿Por qué se siente tan extraño
Llegar y no sentir tus labios?
Quiero tenerte al lado mío
Te juro que a veces ya ni sonrío
Ven, mami, ven, dame tu mano
Vámonos de este mundo extraño
Llené de lágrimas el paño
Te amo aunque me hagas tanto fucking daño

Oh-oh, oh-oh, oh-oh
Oh-oh-oh, oh-oh
Daño, daño, daño, daño
Daño, daño, daño, daño
Daño, daño
Daño, daño
Daño"
88,Bruno Mars,Just the Way You Are,Global,latin,7BqBn9nzAq8spo5e7cZ0dJ,11104954,162,34,"Oh
Oh
Oh
Oh

Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her tryin'
She's so beautiful, uh
And I tell her every day
Yeah, I know, I know, when I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah

Her lips, her lips, I could kiss them all day if she'd let me
Her laugh, her laugh, she hates, but I think it's so sexy
She's so beautiful, uh
And I tell her every day
Oh, you know, you know, you know I'd never ask you to change
If perfect's what you're searching for, then just stay the same
So don't even bother askin' if you look okay
You know I'll say

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

The way you are
The way you are
Girl, you're amazing
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are
Yeah"
89,Neton Vega,Pvta Luna,Global,latin,33MeEaRCeIQMSRyFTr5ZJU,11087297,16,61,"Yo no soy romántico, pero contigo, neta, la cagué
Por andar de loco, y tú querías hasta puta luna de miel
Nunca hubo flores, rosas, serenatas, yo poco cambié
Siempre en mi desmadre, más ya no aguantaste
Que llegara oliendo a otra piel

Así como tú quieres, yo no sé querer
Tú bajaste del cielo y pa' allá nunca iré
Las fotitos privadas, ¿quién te las tomará?
Ese culito fue mío y ya no volverá


Otra borrachera, otras llamadas que no quiere responder
Otra amanecida, ya esta cruda maldita me va a enloquecer
Se miran bonitos, pero quisieras que fuera yo ese güey
Puedes reemplazarme, pero no olvidarme ni volviendo a nacer

Así como tú quieres, yo no sé querer
Tú bajaste del cielo y pa' allá nunca iré
Las fotitos privadas, ¿quién te las tomará?
Ese culito fue mío y ya no volverá"
90,Gracie Abrams,That’s So True,Global,latin,7ne4VBA60CxGM75vw0EYad,11028253,72,3,"I could go and read your mind
Think about your dumb face all the time
Living in your glass house, I'm outside, uh
Looking in her big blue eyes
Did it just to hurt me, make me cry
Smiling through it all, yeah, that's my life

You're an idiot, now I'm sure
Now I'm positive, I should go and warn her

Ooh, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh

What'd she do to get you off? (Uh-huh)
Taking down her hair like, oh, my God
Taking off your shirt, I did that once
Or twice, uh
No, I know, I know I'll fuck off (Uh-huh)
But I think I like her, she's so fun
Wait, I think I hate her, I'm not that evolved, I'm sorry

She's missing it, sad, sad boy
Not my business, but I had to warn ya

Ooh, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh
Ooh, you've got me thinking, ""She's so cool""
But I know what I know and you're just another dude
Ooh, that's so true, ooh

Made it out alive, but I think I lost it
Said that I was fine, said it from my coffin
Remember how I died when you started walking?
That's my life, that's my life
I'll put up a fight, taking out my earrings
Don't you know the vibe? Don't you know the feeling?
And she'll spend the night, catch me on your ceiling
That's your price, that's your price
Well

Mm, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh
Ooh, you've got me thinking, ""She's so cool""
But I know what I know, and you're just another dude
Ooh, that's so true, ooh-ooh, oh"
91,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Global,latin,6iOndD4OFo7GkaDypWQIou,10974470,53,5,"O-O-Ovy On The Drums
You're the apple of my eye, you
Are everything I want
A beer to quench the thirst? Nah
Better to be kissed by your little mouth, my love
Temptations like you
Deserve sinners like me
Oh, if you want it, just give the signal (Aye)
You know I won't say no

Ay, you've got that magic
You really have that little something I love, it drives me crazy (Ay-ay)
Sleeping with you was love at first sight, when you danced like that
On the neck, kisses and tongue, I know you love it, it drives you crazy
I know you love it, it drives you crazy
And sometimes

Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh (For real)
Ooh, ooh, ooh
Ooh (Listen), ooh, ooh

Hey, the thing is that ever since I saw your face
I fell in love with all of you, you've just got that something and I don't know what it is
I feel like the same thing happens to you when I look at you
What do you say, we chill and watch the sunrise together? (Prra)
I wanna do everything, I want you to be my everthing
I tell you, ""Rub it, go ahread,"" and then she comes and rubs it (Ooh-ah)
Let's meet up later
If you don't like hell, why you flirting with the devil?
And she, a cutie from Medellín, and I'm from the coast, a coleto
I press her close on a single tile
To keep it real with you, no fake stuff
It's clear you're pure poison

Ay, you've got that magic
You really have that little something I love, it drives me crazy (Ay-ay)
Sleeping with you was love at first sight, when you danced like that
On the neck, kisses and tongue, I know you love it, it drives you crazy (Ooh)
I know you love it, it drives you crazy
And sometimes

Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh (Listen, for real)
Ooh, ooh, ooh (I know you love it, it drives you crazy)
Ooh, ooh, ooh

Beéle
Ovy On The Rasta Drums
W Sound
Aye
Alright"
92,The Marías,No One Noticed,Global,latin,3siwsiaEoU4Kuuc9WKMUy5,10941851,68,37,"Maybe I
Lost my mind
No one noticed
No one noticed

It's getting old (I'd kinda like it if you'd call me)
All alone ('Cause I'm so over bein' lonely)
May have lost it (I need a virtual connection)
I have lost it (Be my video obsession)

No one tried
To read my eyes
No one but you
Wish it weren't true

Maybe I (I'd kinda like it if you'd call me)
It's not right ('Cause I'm so over bein' lonely)
Make you mine (I need a virtual connection)
Take our time (Be my video obsеssion)

Come on, don't leave mе, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city, excited to see your face
Hold me, console me, and then I'll leave without a trace
Come on, don't leave me, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city, excited to see your face
Hold me, console me, then I'll leave without a trace
Come on, don't leave me, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city, excited to see your face
Hold me, console me, and then I'll leave without a trace
(Maybe I) Come on, don't leave me, it can't be that easy, babe
(It's not right) If you believe me, I guess I'll get on a plane
(Make you mine) Fly to your city, excited to see your face
(Take our time) Hold me, console me, and then I'll leave without a trace

I'd kinda like it if you'd call me
(It's not right) 'Cause I'm so over bein' lonely
(Make you mine) I need a virtual connection
(Take our time) Be my video obsession"
93,BLACKPINK,Champion,Global,latin,43BJVWcBzHRIDaQCg7abnX,10936765,1,93,"Ain't quitting, I trust my intuition (Okay)
Time ticking, but they don't see the vision (Okay)
I ain't giving up, no, I ain't willing (Okay)
I be winning like it's an addiction

Head high, run into the sky
I live in the clouds
No lie, look into my eyes
You can't take me out

If I ever, ever fall down one time
I'ma keep going on, 'cause I know I'm a champion
And if I take a, take a L, I'll still fight
'Til the bitter end, I'm strong, 'cause I know I'm a champion

Pull up, four in a sprinter (Okay)
We eat losers for dinner (Okay)
Hit hard, hard like a heart attack (Okay)
Same team, girl, yeah, I got your back

Head high, run into the sky
I live in the clouds (And I'm looking over you)
No liе, look into my eyes
You can't take mе out (Even if you wanted to)

If I ever, ever fall down one time
I'ma keep going on, 'cause I know I'm a champion
And if I take a, take a L, I'll still fight
'Til the bitter end, I'm strong, 'cause I know I'm a champion

(Champion)
(I'm a champion)
(Champion)
(I'm a champion)
BLACKPINK, BLACKPINK, BLACKPINK, BLACKPINK
BLACKPINK, BLACKPINK, BLACKPINK, BLACKPINK
BLACKPINK, BLACKPINK, BLACKPINK, BLACKPINK

If I ever, ever fall down one time
I'ma keep going on, 'cause I know I'm a champion
And if I take a, take a L, I'll still fight
'Til the bitter end, I'm strong, 'cause I know I'm a champion"
94,"Peso Pluma, Tito Double P",7-3,Global,latin,4lzo6zPM2paqyP8oBp3DOs,10893482,10,42,"Me llama y me dice que no tiene nada que hacer
Supe que volviste con el pendejo de tu ex
¿Que ya te aburriste? O ¿por qué me llamas otra vez?
Quieres que te pise, ese loco no te da placer
Ya me convenciste, ¿en dónde paso a recoger?
Pa' que no estés triste te pongo en siete menos tres

La neta que ya traigo una morrita más buena, pero jalo hacerte el paro
Ya traigo una güera que trato como princesa
Pa' ella pesos, pa' ti palos
Ay, mija, soy más cabrón que bonito
No considero delito el poder echarte la manoTu jefa dice que soy drogadicto
Yo le digo que poquito, porque el polvo no es tan malo
No es tan malo como tú, que me dejaste el cora' bien dañado (Jaja)
No es tan malo como tú, que teniendo novio buscas a otro vato

Jaja
¡Ah!
Hija de tu puta madre
Dale
Double P
Jajay
¡Ah!
¡Wuh!

Un pacón en la maleta, me está esperando el jet privado
Como Don Neto, me respetan aquí en China y en todos lados
Pa' gastar lana no me pesa, el deportivo está blindadoSoy adicto a la niña fresa, por eso me trae bien ondeado

La neta que ya traigo una morrita más buena, pero jalo hacerte el paro
Ya traigo una güera que trato yo como princesa
Pa' ella pesos, pa' ti palos
Ay, mija, soy más cabrón que bonito
No considero delito el poder echarte la manoTu jefa dice que soy drogadicto
Yo le digo que poquito, porque el polvo no es tan malo
No es tan malo como tú, que me dejaste el cora' bien dañado
No es tan malo como tú, que teniendo novio buscas a otro vato"
95,Don Toliver,Body,Global,latin,0FlcmZ13DGRmscCroro9GO,10848483,5,34,"Wanna rock your body
Body (
Oh my God, Jaasu, can I try on your glasses?
)
Body
Body
Wanna rock your body

I'm out of control when I'm crushin' on you (
Body
)
She don't tell me no when I'm touchin' on her (
Wanna rock your body
)
H-Town nigga, love a— with a body
Baby, come here, I'ma grip on your body
Y'all niggas ain't got nothin' to say, oh, what you gon' say about her body?
Y'all know I'll pull up and spray, oh, I don't play about her body
Y'all know I'm finna go late, yeah, I'ma go stay around her body
Call me Cassius Clay, oh, I'll go crazy about her 
body

Give me like ten of them, oh (
Body
)
I wanna get in it, uh, yeah, I wanna get in it (
Body
)
Keys to the mansion, house, you know this shit is coated
Droppin' lean in Sprite with the motherfuckin' codeine
I been goin' crazy, spending cash with my crodie (Yeah, with my brodie, wanna rock your body)
I need me a geeker
Hеar this shit ble-bleedin' through your speaker
Know my baby girl, that shе a keeper
Know my baby girl, oh, she a tweaker ('Er— 'er— body)

I'm out of control when I'm crushin' on you (
Body
)
She don't tell me no when I'm touchin' on her (
Wanna rock your body
)
H-Town nigga, love a— with a body
Baby, come here, I'ma grip on your body
Y'all niggas ain't got nothin' to say, oh, what you gon' say about her body?
Y'all know I'll pull up and spray, oh, I don't play about her body
Y'all know I'm finna go late, yeah, I'ma go stay around her body
Call me Cassius Clay, oh, I'll go crazy about her

Okay, just take a chance on me, bae (
Body
)
Okay, I got the feels, can we wait? (
Body
)
Body

I'm out of control when I'm crushin' on you (
Body
)
She don't tell me no when I'm touchin' on her (
Body
)
H-Town nigga, love a— with a body
Baby, come here, I'ma grip on your body
Y'all niggas ain't got nothin' to say, oh, what you gon' say about her body?
Y'all know I'll pull up and spray, oh, I don't play about her body
Y'all know I'm finna go late, yeah, I'ma go stay around her body
Call me Cassius Clay, oh, I'll go crazy about her 
body

Body
Oh, I'll go crazy about her body
Body
Wanna rock your body"
96,Lenin Ramírez,Todo Lo Fue,Global,latin,0Sa8aRfGckW0qUGLrBwoBG,10798503,6,85,"Yo sé que en el amor no tienes interés
Fui un cero a la izquierda y tiraste a la mierda lo que pudo ser
Una historia tan bonita de rosas de cartas y mil serenatas
Te invertí mi dinero y te fuiste mujer
Hoy me tienes tomando con desconocidos
En una triste barra pierdo mi cordura buscando el olvido
Mi cien porciento fue poco yo te lo di todo y tu andabas con todos
 Ahora tu bien alegre y yo acá bien jodido
Me pongo a ver tus historias para ver dónde andas
Tres vеladoras a un santo para ver si me llamas
Con esa carita yo nunca pеnsé que con otro tú te revolcabas
En la parte de atrás del Mercedes que yo te compré
Llevo las cuatros estaciones del año en lo mismo
Si me ven con otra morra es puro fanatismo
Quiero sacarte de mi mente y que ya no me afecte lo que un dia vivimos
Y mandarte a la mierda a ti y a tu madre también
Ja-Ja!
Me pongo a ver tus historias para ver dónde andas
Tres veladoras a un santo para ver si me llamas
Con esa carita yo nunca pensé que con otro tú te revolcabas
En la parte de atrás del Mercedes que yo te compré
Llevo las cuatros estaciones del año en lo mismo
Si me ven con otra mora es puro fanatismo
Quiero sacarte de mi mente y que ya no me afecte lo que un dia vivimos
Y mandarte a la mierda a ti y a tu madre también"
97,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),Global,latin,0FIDCNYYjNvPVimz5icugS,10778352,75,3,"Güneş parlıyor, sona erdi
Yarın oldu
Kendini ışıkta, aşkında yıka
XO
Ooh, evet, ooh, evet, hayır
[Verse 1: Playboi Carti & 
The Weeknd
]
Küçüklüğümden beri, olayın ben olduğunu biliyordum (
Ooh, evet
)
Hatun sürekli gelmek istiyor, çakılmak istiyor (
Çok sert çakılmak istiyor
)
Yanımda tuttuğum için ilkim olduğunu zannediyor
Çift O, saati kapla, benim zamansız olduğumu biliyor (
Zamansız
)
Oğluma bir kaç parça Rick geçiriyorum
Silahı kalçadan çekiyorum
Cepler yirmi ikilik klipleri tutuyor (
Ah
)
Kalbini kırıyorum, Comme Garçons
Üstüne bir şey giy, zeplin üstüne basıl
Leke gibi bir sürtük, yalamaya hazır ol
Küçüklüğümden beri, olayın ben olduğunu bildiğimi anlatmak zorundaydım (Oh)
Şarkılarımı söylüyor, kendinden geçmek istiyor, bir fırt çekmeye çalışıyor
Banka gibi ev, bu orospuyu yatır, şu çeki yatır
Yüzümde gülümseme, rol yapmıyorum, gel ve kontrol edil (Ah)
Boynumda buz, çift O bilekler
Kız Scat'de, ne tekerler ama
Siperlerden yeni çıktı, dört yüz paket
Ah, evet, Paris’te dönüp dolaşıyorum (Ah)
Orospular için giyin, üstüne akın edecekler
Gazoza dört damla koydum, baloncukları çıkıyor
Uyuşturucular iyi vuracak, hasta gibiyim
Bütün şeytanların ile güreşiyorum, The Rock gibi hissediyorum

(Siktir, ah, evet)
Çocukluğumdan beri, hakiki oldum (Çocuk, ooh, yok)
Eğer sen olsaydım, bileklerimi keserdim (
Salak oros
)
Tüm vücudunu XO dövmesi sarmış, evet (
Evet
)
Kız sadece takılmak istiyor ve benim için sorun değil, evet
Küçüklüğümden beri, hakiki oldum (Ooh, yok, ah)
Kızı salmalısın, özgür olmak istiyor (Oh, evet)
Vücudunda Çift O dövmesi, evet
Ne söyledikleri önemli değil, ben zamansızım, evet (Shevet)

Oh, eve döndüğümde şehir ateşler içinde
Gökyüzünü doldur (Evet), Dome'u dolduruyorum
Bir gün bunu oynatacaklar (Evet), ne performanstı ama
Ama can yakacak çünkü ilk biz başardık
Skateboard P gibi hissediyorum, BBC tayfa emekliyor
Yıl '03’müş gibi hissediyorum, bağlantılı Neptune davulları (Evet)
Karı mastürbasyoncu hippinin teki, ekiple yatmak istiyor
Kremaya aşık oldu (Evet), sahneye aşık oldu
Ooh, evet, erkeği sessiz, çıt çıkmıyor (Oh, yok)
Kalbini kırdı, TSSB (Oh, yok)
Göğsünü tut, nefes almasına izin ver
Nefes almasına izin ver, zenciler planlar kuruyorlar
Ve bir rahibim var, haçı tutuyor
Yoldan çık, Allah'ına gönder
Bir damla gözyaşı döktüm, kayıp için dua ettim, ooh, evet (Evet)

Çocukluğumdan beri, hakiki oldum (
Homixide, Homixide, Homixide
, oh, oh)
Eğer sen olsaydım, bileklerimi keserdim (Ah)
Tüm vücudunu XO dövmesi sarmış, evet (Vücudunu, evet)
Kız sadece takılmak istiyor ve benim için sorun değil, evet
Küçüklüğümden beri, hakiki oldum (Evet, ooh, yok)
Kızı salmalısın, özgür olmak istiyor (Oh, yok)
Vücudunda Çift O dövmesi, evet (Vücudunda, evet)
Ne söyledikleri önemli değil, ben zamansızım

Zamansız (Oh), zamansız, zamansız
Zamansız, zamansız, zamansız, zamansızız, oh
Zamansız, zamansız, zamansız (Evet), zamansız
Zamansız (Evet), zamansız, zamansız, zamansızız, oh
Oh (Blatt)
Oh (Yuh, yakıyor)"
98,Coldplay,Viva La Vida,Global,latin,1mea3bSkSGXuIRvnydlB5b,10775710,184,31,"I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
And revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (
Mmm, mmm
)
Aw, who would ever wanna be king?

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
[Chorus: Chris Martin, 
Brian Eno
, Guy Berryman, Jonny Buckland & Will Champion
]
(
Oh-oh-oh, oh-oh, oh
)
Hear Jerusalem bells a-ringin'
(Oh-oh-oh, oh-oh, oh)
Roman cavalry choirs are singin'
(Oh-oh-oh, oh-oh, oh)
Be my mirror, my sword and shield
(Oh-oh-oh, oh-oh, oh)
My missionaries in a foreign field
(Oh-oh-oh, oh-oh, oh)
For some reason, I can't explain
(Oh-oh-oh, oh-oh, oh)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm"
99,Lil Uzi Vert,What You Saying,Global,latin,7cjoZVmWe2xsGR4wcXiV2v,10766325,9,38,"(
MC, make another hit
)

I don't even know what she said 'cause she foreign (Let's go)
Yeah, she foreign
And she got endurance
Like the way she 'forms
And she gon' perform it
Look the same in morning (Woah)
She don't stop, keep going (Keep going)
I don't even know what she said, but this what I hear in my head
[Refrain: Lil Uzi Vert & 
Indila
]
Il, il n'est pas fou (Huh?), il l'aime c'est tout (What?)
Il la voit partout (Wait), il l'attend debout (What she say?)
Debout une rose à la main (Yes), non, non plus rien ne le retient (Oh, and she start breathin' like)
Dans sa love story (Woah)
Dans sa love story (Let's go)
Dans sa love story
Sa love story (Then she switch the pace up)

Okay, I really do get you
What I make in a day, what they make in a life
Is it 'cause that I'm paid, you tryna stay the night?
You keep rubbing all on my face, make me feel I'm your type
I guess that we on the same page 'cause I'm just tryna strike (Okay, I really do get you, woah)
What I make in a day, what they make in a life
Is it 'cause that I'm paid, you tryna stay the night?
You keep rubbing all on my face, make me feel I'm your type
I guess that we on the same page 'cause I'm just tryna strike (Woah)
[Refrain: Lil Uzi Vert & 
Indila
]
Il, il n'est pas fou (Huh?), il l'aime c'est tout (Keep goin')
Il la voit partout (Woah), il l'attend debout (What she say?)
Debout une rose à la main (Go), non, non plus rien ne le retient (Ah, ah, ah)
Dans sa love story
Dans sa love story
Dans sa love story
Sa love story

I don't even know what she said 'cause she foreign (Let's go)
Yeah, she foreign
And she got endurance
Like the way she 'forms
And she gon' perform it
Look the same in morning (Woah)
She don't stop, keep going (Keep going)
I don't even know what she said but this what I hear in my head"
