rank,artist,title,region,spotify_uri,lyrics
121,Willie Colón,Oh Qué Será?,Colombia,2n1MTLCis6qPSDKdr5XSDI,"Yo creo en muchas cosas que no he visto, y ustedes también, lo sé
No se puede negar la existencia de algo palpado por más etéreo que sea
No hace falta exhibir una prueba de decencia de aquello que es tan verdadero
El único gesto es creer o no, algunas veces hasta creer llorando
Se trata de un tema incompleto porque le falta respuesta
Respuesta que alguno de ustedes, quizás, le pueda dar
Es un tema en technicolor para hacer algo útil del amor, para todos nosotros, amén

Oh, ¿qué será? ¿Qué será que anda suspirando por las alcobas?
Que se oye susurrando en versos de trova, que anda combinándonos preguntas locas
Que anda en las cabezas, anda en las bocas, que anda ascendiendo por hartos huecos
Que están hablando alto en la bodega y grita en el mercado: ""¿Qué cosa es esa?""
Es la naturaleza, ¿será? Qué será? (¿Será?, ¿qué será?)
Que no tiene certeza, y nunca te da (Y nunca te da)
Que no tiene concepto, y nunca tendrá (Y nunca tendrá)
Que no tiene tamaño
Oh, ¿qué será? ¿Qué será que vive en las ideas de esos amantes?
Que cantan los poetas más delirantes y juran los profetas emborrachados
Está en la romería de los mutilados, está en la fantasía de los infelices
Está en el día a día de las meretrices, en todos los bandidos y desvalidos
En todos sus sentidos, ¿será? ¿Qué será? (¿Será?, ¿qué será?)
Que no tiene decencia, y nunca tendrá (Y nunca tendrá)
Que no tiene censura, y nunca tendrá (Y nunca tendrá)
Ni le falta sentido
Oh, ¿qué será? ¿Qué será que ningún aviso podrá evitar?
Que tampoco los presos puedan desafiar, que todos los caminos tendrán que cruzar
Donde todos los signos van a consagrar y todos los niñitos a investigar
Y todos los destinos van a encontrar, y el mismo Padre eterno que nunca fue allá
Al hombre nuevamente lo bendecirán (Bendecirán)
Apagando al infierno su llama final (Su llama final)
Porque no tiene caso volver a rodar (Volver a rodar), por la falta de juicio

Ooh, ¿qué será? Ooh, ¿qué será? (Ooh, ¿qué será?)
Que jura el profeta, canta el poeta y están gritando en la maqueta, oh, ¿qué será?
(Ooh, ¿qué será?)
Que me despierta por la noche y me hace temblar, me hace llorar
(Ooh, ¿qué será?)
Son fantasmas, somos fantasmas; siento la puerta tocar tres veces, oh, ¿quién será?
(Ooh, ¿qué será?)
Van suspirando por las alcobas y susurrando versos de trova, ¡ponte a escuchar!


(Ooh, ¿qué será?)
No tiene tamaño y es naturaleza, anda en las bocas y en las cabezas
(Ooh, ¿qué será?)
Todos los niñitos lo investigarán y ningún aviso lo podrá evitar
(Ooh, ¿qué será?)
En toda campana repicará y el que está dormido despertará
(Ooh, ¿qué será?)
Son fantasmas, somos fantasmas; siento la puerta tocar tres veces, oh, ¿quién será?


(Ooh, ¿qué será?)
Son fantasmas, son fantasmas, son fantasmas, son fantasmas
Oigo la puerta tocar, ay, la puerta tocar
(Ooh, ¿qué será?)
Lo vive el bandido, el desvalido, las meretrices, los infelices
El reverendo y el bombero, el presidente, el zapatero
Y las maestras y el carnicero, la ciudadana y el extranjero
También el juez y el farandulero, la enfermera, el timonero
El santero, el marxista, el bodeguero y el masoquista
Oh, ¿qué será?"
122,Blessd,Palabras Sobran,Colombia,4wu7jIeJCUhQJaXsXVit0e,"Ey, mi amor, ¿sabe qué?
Es que es imposible, de buena
Olvidarme de usted, de sus besitos, de sus ojos
Y cuando no estoy imaginándomelo estoy viendo el vídeo
¿Sí sabe? Jaja
Ay, Dios
The-The Prodigiez

Quiero tenerte, ¿sabe', bebé?
Y no perder mi tiempo
No puedo olvidarme de usted
Y más cuando ya estaba adentro
Nos dejamo' llevar de los sentimiento'
Y no fue mi culpa, me enamoré
Baby, lo siento
Quiero tenerte, ¿sabe', bebé?
Y no perder mi tiempo
No puedo olvidarme de usted
Y más cuando ya estaba adentro
Nos dejamo' llevar de los sentimiento'
Y no fue mi culpa, me enamoré
Baby, lo siento

Sígueme besando como tú me besas
Empezamo' en el balcón, terminamo' en la pieza
Que no me miren otras, bebé, qué pereza
Tu boquita sabor a frambuesa
Me encanta tu delicadeza (Sí)
Me gusta besarte completa
Dime, y yo lo hago por ti
Tú eres de otro planeta
Quiero mirarte fijamente
Qué rico, qué cosita, tú eres diferente
Si tú eres doctora, yo seré paciente
Tú eres tan linda, tan inteligente
Frecuentemente yo quiero tenerte
Así sea poco o sea para siempre
Al final del día no importa la gente
Si toda la noche estás en mi mente

Quiero tenerte, ¿sabe', bebé?
Y no perder mi tiempo (Tiempo)
No puedo olvidarme de usted (Usted)
Y más cuando ya estaba adentro
Nos dejamo' llevar de los sentimiento'
Y no fue mi culpa, me enamoré
Baby, lo siento
Quiero tenerte, ¿sabe', bebé?
Y no perder mi tiempo
No puedo olvidarme de usted
Y más cuando ya estaba adentro
Nos dejamo' llevar de los sentimiento'
Y no fue mi culpa, me enamoré
Baby, lo siento (Hecho en Medellín)

Tú tienes ese culo, mami
Que me enloquece, que me encanta, solo lo quiero pa' mí
Vámonos para Europa (Uy), yo te gasto en París
Que así quieras a otro, me prefieres a mí
Y aún tengo el video, cuando nos comimo'
Recuerdo esa noche, yo me lo imagino
Hacértelo fue de cero a cien
Pero no sé si esto está bien
Y aún tengo el video, cuando nos comimos
Recuerdo esa noche, yo me lo imagino
Hacértelo fue de cero a cien
Pero no sé si esto está bien

Quiero tenerte, ¿sabe', bebé?
Y no perder mi tiempo (Tiempo)
No puedo olvidarme de usted (Usted)
Y más cuando ya estaba adentro
Nos dejamo' llevar de los sentimiento'
Baby, lo siento
Quiero tenerte, ¿sabe', bebé?
Y no perder mi tiempo
No puedo olvidarme de usted
Y más cuando ya estaba adentro
Nos dejamo' llevar de los sentimiento' (Uy)
Y no fue mi culpa, me enamoré
Baby, lo siento (Hecho en Medellín)

Ey, Chan, gonorrea, tomándome este vinito, pa
Qué recuerdos
Chimba, chimba
Qué fierro esa pista
Ja, The Prodigiez (Chan)
Kevin ADG
Rudeboyz
Mi amor, ¿y sabe qué? De buena, pa' no hablarle mucho
Palabras sobran"
123,KAROL G,Si Antes Te Hubiera Conocido,Colombia,73scB4Q4fcOmnsBVZPmk32,"¿Qué lo que?
Estamo' a rulay
Empezó el verano
Fuego

¿Qué hubiera sido?
Si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos

Sino como otra cosa
Usted cerca me pone peligrosa
Por un besito hago cualquier cosa
La novia suya me pone celosa y aunque es hermosa
¡Ey!

No te va a tratar como yo
No te va a besar como yo
No está tan rica así como yo
Ella es tímida y yo no
Con esta' ganas que tengo yo
Me atrevo a comerme los do'
Hoy estás jangueando con ella
Pero, mmm, después tal vez no

¿Qué hubiera sido?
Si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos, ¡ey!
¿Qué hubiera sido?
Ay, si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos, ¡ey!

Y yo te veo y no sé cómo actuar
Bebé, pa' conquistarte que me pasen el manual
Espero lo que sea, yo no me voy a quitar
Tengo fe que esos ojito' un día me van a mirar
Yo me caso contigo
Mi nombre suena bien con tu apellido
'Toy esperando el primer descuido
Pa' presentarte como mi marido
Yo me caso contigo
Mi nombre suena bien con tu apellido
'Toy esperando el primer descuido
Pa' presentarte como mi marido
No has entendido que

No te va a tratar como yo
No te va a besar como yo
No está tan rica así como yo
Ella es tímida y yo no
Con esta' ganas que tengo yo
Me atrevo a comerme los do'
Hoy estás jangueando con ella
Pero (Mmm) después tal vez no

¿Qué hubiera sido?
Si antes te hubiera conocido (Ey, ¿cómo?)
Seguramente, estarías bailando esta conmigo
No como amigos, no, no, no

Ey, ey, ey, ey
(¿Qué hubiera sido?)
(Si antes te hubiera conocido)
Sisas, sisas, sisas, sisas (Jaja, ah)
Uh-uh-uh-uh
(¿Qué hubiera sido?)
(Si antes te hubiera conocido)"
124,ARIA VEGA,AY MAMA (mi tiburón),Colombia,7yHZ66udwjeUafGohI7T46,"Yeeh yeeh
Uh yeeh
(La Nena De Quilla)
Entre tantos yo no he visto otro igual
(yeiyeh)
Dicen que en el mar muchos peces hay
(Hay millones)
Pero como mi tiburón ninguno
Cuando la nota patea
Como Lucho Díaz en el Junior
Pienso en mi bwoy
Y su fili al desayuno
Entre el humo me dice que
Ay mama estás como pa' darte
Como el solecito te da en la piel
Mama como lo sabe' hacer
Mama mama mama
Ay papa cállate y pégate
Así como el sol me pega en la piel
Papa un afrito báilame
Báilame (ieh)
Ahí ahí ahí ahí me tienes tú
Y tú y tú montada en el bus
Un vibe it feels like a sunset
Uuf
Like playita brisa y mood
Ahí ahí ahí ahí me tienes tú
Y tú y tú montada en el bus
Un vibe it feels like a sunset
Uuf
Like playita brisa y mood
No sé si ya te lo han dicho antes
Cule liso
Como un gángster
Cada punto de mi cora te robaste
A mano armada
Cuando un dancehall me bailaste bandido
Dubosky amor de bandidos sonó
Y entré en calor
Y la luz neón
Ese bebé me dice que
Ay mama estás como pa' darte
Como el solecito te da en la piel
Mama como lo sabe' hacer
Mama mama mama
Ay papa cállate y pégate
Así como el sol me pega en la piel
Papa un afrito báilame
Báilame (ieh)
Ahí ahí ahí ahí me tienes tú
Y tú y tú montada en el bus
Un vibe it feels like a sunset
Uuf
Like playita brisa y mood
Ahí ahí ahí ahí me tienes tú
Y tú y tú montada en el bus
Un vibe it feels like a sunset
Uuf
Like playita brisa y mood
A
A
Yo soy
Aria Vega
Yeah yeah dímelo Valop
Ay papa"
125,Yeison Jimenez,Aventurero,Colombia,0ftcn4ddKESqQMA784Ebc0,"Yo, soy un vagabundo
Que ando por el mundo
Derrochando amor
Yo, soy un mujeriego
Pobre y muy sincero
Con el corazón
Me gusta la farra, las mujeres buenas
Vivir con amigos, vaciando botellas

Me gusta la vida
Me encanta el amor
Soy aventurero
Con el corazón

Y a mí me gusta la parranda
A mí me gustan las mujeres
Escucharme una buena banda
Y darle gusto a mis placeres
Y a mí me gusta la parranda
A mí me gustan las mujeres
Escucharme una buena banda
Y darle gusto a mis placeres

Yeison Jimenez, con el corazón

Yo, nunca he sido un santo
Más tampoco un diablo
Yo soy como soy
Y yo, no le corro a nadie
Nunca humillo a nadie
Yo soy el que soy

Me gusta la vida
Me encanta el amor
Soy aventurero
Con el corazón

Y a mí me gusta la parranda
A mí me gustan las mujeres
Escucharme una buena banda
Y darle gusto a mis placeres
Y a mí me gusta la parranda
A mí me gustan las mujeres
Escucharme una buena banda
Y darle gusto a mis placeres"
126,Willie Colón,Gitana,Colombia,4VTb5wB46sZDsfL8XgroGt,"Por si un día me muero
Y tú lees este papel
Que sepas lo mucho que te quiero
Aunque no te vuelva a ver

Gitana, gitana
Gitana, gitana
Tu pelo, tu pelo
Tu cara, tu cara

Sé que nunca fuiste mía, ni lo has sido, ni lo eres
Pero de mi corazón, un pedacito tú tienes
Tú tienes, tú tienes, tú tienes, tú tienes

Gitana, gitana
Gitana, gitana
Tu pelo, tu pelo
Tu cara, tu cara

Porque sabes que te quiero
No trates de alabarme tú
Pues lo mismo que te quiero
Soy capaz hasta de odiarte yo
Y tengo celos del viento porque acaricia tu piel
De la Luna a que miras, del Sol porque te calienta
Yo tengo celos del agua y del peinecito que a ti te peina

Y con los celos, los celos, los celos
A mí el corazón me arde, me arde
Y con los celos, los celos, los celos
A mí el corazón me arde, me arde

Las palabras son de aire, y van al aire
Mis lágrimas son agua, y van al mar
Cuando un amor se muere
¿Sabes, chiquita a dónde va?
¿Sabes, chiquilla a dónde va?

Sin mirarte yo te miro
Sin sentirte yo te siento
Sin hablarte yo te hablo
Sin quererte yo te quiero

La nota es porque es imposible
Seguir viviendo esta agonía
Quiero que sepas lo que yo siento
Aunque nunca podrás ser mía

Sin mirarte yo te miro
Sin sentirte yo te siento (Yo te siento)
Sin hablarte yo te hablo
Sin quererte yo te quiero

Las manos se me sudaban, el pecho me palpitaba
Loco, enamorado y tú nunca sabías nada

Sin mirarte yo te miro
Sin sentirte yo te siento (Lo siento)
Sin hablarte yo te hablo
Sin quererte yo te quiero

Anoche vi en tus ojos que me quería', y te besé
Saboreando tus labios dulces y abrazando la almohada, me desperté

Sin mirarte yo te miro
Sin sentirte yo te siento (Te quiero)
Sin hablarte yo te hablo
Sin quererte yo te quiero

Bien sé que tú, yo sé bien que tú, yo sé bien que tú
Ni te has dado cuenta de este muchacho
""Al que madruga Dios lo ayuda""
Y eso espero, pues me paso to'a la noche por ti desvelado
Ay, na' má'
Tocamelo

Sin mirarte yo te miro
Sin sentirte yo te siento
Sin hablarte yo te hablo
Sin quererte yo te quiero

Solo, solo para ti, solo para ti yo soy, solo para ti seré
Espero con la esperanza que algún día me pueda' ver

Sin mirarte yo te miro
Sin sentirte yo te siento
Sin hablarte yo te hablo
Sin quererte yo te quiero

Las palabras van al aire
Las lágrimas al mar
Pero el amor cuando muere
Dime nena, ¿a dónde va?
Dime, gitanita

Sin mirarte yo te miro
Sin sentirte yo te siento
Sin hablarte yo te hablo
Sin quererte yo te quiero

Sé que nunca fuiste mía
Ni lo has sido, ni lo eres
Pero de mi corazón
Un pedacito tú tienes, mi, gitanita

Sin mirarte yo te miro
Sin sentirte yo te siento
Sin hablarte yo te hablo
Sin quererte yo te quiero

Sin mirarte yo te miro
Sin sentirte yo te siento
Sin hablarte yo te hablo
Sin quererte yo te quiero"
127,Tito Rojas,Siempre Sere,Colombia,4ZGk5h0sIfeunWEKzXEoHr,"Hoy te vuelvo a besar a escondidas (Siempre seré)
Nuevamente las horas medidas (Siempre seré)
Ha pasado no sé cuánto tiempo (Siempre seré)
Desde aquel nuestro último encuentro (Na-na-na-na-ra-ra)

Como el aire que toca tu pelo
Como lluvia te dejas caer
Así soy para ti en los momentos que deseo volverte a tener

Y me siento un juguete en tus brazos
Y al mirarte pierdo la razón
Y me vuelvo a enredar en tu cuerpo
Y me ahogo en el mar de tu amor

Siempre seré quien te calme tus deseos de amar
Pero nunca llegaré a imaginar
Lo profundo de tu alma, de tu corazón
Siempre seré la ternura que despierta pasión
Sin llegar a ser jamás la ilusión
Ese amor fascinante que te enamoró

Como el aire que toca tu pelo (Siempre seré)
Como lluvia te dejas caer (Siempre seré)
Así soy para ti en los momentos (Siempre seré)
Que deseo volverte a tener

Y me siento un juguete en tus brazos
Y al mirarte pierdo la razón
Y me vuelvo a enredar en tu cuerpo
Y me ahogo en el mar de tu amor

Siempre seré quien te calme tus deseos de amar
Pero nunca llegaré a imaginar
Lo profundo de tu alma, de tu corazón
Siempre seré la ternura que despierta pasión
Sin llegar a ser jamás la ilusión
Ese amor fascinante que te enamoró

(Siempre seré)
Mira quien te calma tus deseos de amar, ese soy yo
(Siempre)
Como la lluvia que moja tu pelo
(Siempre seré)
Pero que siempre, siempre, seré tu consuelo
(Siempre)
Y por las noches si no estás conmigo, yo me desvelo
(Siempre seré)
Tú para mi, yo para ti, por siempre en la vida
(Siempre)
Yo soy el hombre que no te olvida

Du-ru, du-ru, du-ru-ru-du
Du-ru, du-ru, du-ru-ru-du

(Siempre seré)
Que tu serás para mi y yo seré para ti
(Siempre)
Yo no te puedo borrar de mi mente, pues te tengo presente
(Siempre seré)
Soy lo profundo de tu alma y de tu corazón
(Siempre)
El que te quiere, el que te mima, el que te ama soy yo
(Siempre seré)
Tú me perdonas como siempre cuando no te doy amor
(Siempre)
Soy el que te da, y te da, te da, te da, te da calor

Arriba
Siempre

(Siempre) Ya estás aquí
(Siempre) Yo estoy aquí
(Siempre) Siempre
(Siempre) Hasta la muerte
(Siempre) Te quiero mucho
(Siempre) Y tú lo sabes
(Siempre) Yo soy la lluvia
(Siempre) Yo soy el viento
(Siempre) Que te acaricia
(Siempre) Siempre
(Siempre)"
128,Yandel,Encantadora,Colombia,7LABrQFfRYcZUqUwng0Heb,"Na, na, naeh (Woh, oh)
Na, na, naoh (Woh, oh)
Na, na, naeh
Na, na, naeh, eh-eh (Eh)

Ella tiene algo que me atrapa
Se me hace muy fácil extrañarla (Oh)
Yo que no creo en el amor
En su juego redondito caí, y me enamoré

Ignora (Oh)
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora (Oh-oh)
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora (Woh, oh, oh, oh)

Na, na, naeh
Na, na, naoh
Na, na, naeh (Woh, oh, oh, oh, oh)
Na, na, naeh, eh-eh (Woh, oh, oh, oh, oh; mi amada; jajaja; woh, oh, oh, oh, oh)

Baby, tú tienes algo, algo muy diferente
Déjame conocerte a fondo, más íntimamente (Eh)
Porque es que cuando tú te mueves sexy, mami (Ouh, woh)
Me provocas y me entran más ganas a mí (Yey, yeh-eh)
De jalarte por el pelo, y besarte por el cuello
Ay, bebé, no tengas miedo, quítate la ropa (Oh)
Hazlo paso por paso y bésame la boca
Vamos a disfrutar de este momento (Eh)

Porque nadie no' está viendo aquí
Estamos solitos aquí
Déjame sentir todo tu cuerpo
Porque nadie no' está viendo aquí
Estamos solitos aquí
Déjame sentir todo tu cuerpo
Na, naeh

Na, na, naeh
Na, na, naoh
Na, na, naeh
Na, na, naeh, eh-eh (Eh)

Ignora (Oh)
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora

Na, na, naeh
Na, na, naoh
Na, na, naeh
Na, na, naeh, eh-eh (Eh)

Cerquita de mí, tan sola, baby
Vamos a pasarla como se debe
En cambio yo aquí, pendiente de ti
Buscando una manera pa' que aquí se quede

No la dejo sola
Las horas me roba y la dejo
Ya veo en sus ojos el deseo
No se va a arruinar el momento (No, oh)
Y es que me mata pensarte
Ignorarte un rato y luego buscarte (Oh)
Quiero amanecerme esta noche, eah
No sabes cómo quiero a usted verla

Cerquita de mí, tan sola, baby
Vamos a pasarla como se debe
En cambio yo aquí pendiente de ti (Oh, oh, oh)
Buscando una manera pa' que aquí se quede (Eh)

Ignora
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es, encantadora y cazadora
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora

Na, na, naeh
Na, na, naoh
Na, na, naeh
Na, na, naeh, eh-eh

Dangerous"
129,Yiyo Sarante,Corazon de Acero,Colombia,21nc3O8OncUv1jjSrC1ML2,"Quedarme a tu lado no me dio buen resultado
Siento decirte que, al final, eso no ha funcionado
Puedes darte cuenta quién perdió más de la cuenta
Fuiste tú, te quedas sin amor, si es que sientes su ausencia
Y es que mi corazón, para tanta desilusión él no fue diseñado

Si esto fue un juego
Debiste, por lo menos, regalarme un corazón de acero
Y siempre fuiste tú
Quien lastimó mi corazón y no fui yo el primero
Te amaba de verdad
Y ahora solo resentimiento en mí tú puedes provocarme
Hoy vuelvo a respirar
Gracias a ti y a toda tu maldad hoy logro reemplazarte
Quién iba a imaginar
Necesitaba otras caricias para olvidarte

Ey
¿Pero que lo' qué vamo' a hacer?, eh

Si esto fue un juego
Debiste, por lo menos, regalarme un corazón de acero
Y siempre fuiste tú
Quien lastimó mi corazón y no fui yo el primero
Te amaba de verdad
Y ahora solo resentimiento en mí tú puedes provocarme
Hoy vuelvo a respirar
Gracias a ti y a toda tu maldad hoy logro reemplazarte
Quién iba a imaginar
Necesitaba otras caricias para olvidarte


Hoy vuelvo a respirar
Gracias a ti y a toda tu maldad hoy logro reemplazarte
Quién iba a imaginar

Necesitaba otras caricias para olvidarte
Necesitaba otras caricias para olvidarte
Necesitaba otras caricias para olvidarte
Necesitaba otras caricias
Para olvidarte"
130,GeezyDee,El Peor Hombre Del Mundo,Colombia,0TBFzXKWtoF7Lwh0LKFt8f,"Monja, don't got mercy on these niggas
Yeah, yeah, yeah
Jaco, hahaha
Ay, qué gonorrea
Monja

Bañadito y oloroso, con el chimbo afeita'o (Uy)
Yo comiendo mela'o, vos comiendo embola'o (Gas)
Son puta', las amo a todas porque no me han cobra'o (Jaja)
Le dejo el culo choca'o y no sale con copado

Wow, mamá, mira en que me convertí (Mamá)
Las que me soñaba, toditas ya les di pipí (A todas)
Tu cara se me hace conocida y no es de actriz
Mmm, mentiras, mami, puede ser que sí
Un pajazo en estos tiempos es una dedicatoria (¿Ah, no?)
La fresita la llevo a que coma flautas a la gloria (Coma, coma, mami)
Camella con Andrés Aguirre, eso ya es mucha trayectoria
Guachadas que vivo y canto, así estamos haciendo historia

No te acerques, soy el peor hombre del mundo (El peor)
Voy salido después de que lo hundo
Llegué, me vine y fuiste, no me ves en un segundo
Mi papá sí era el peor, mami, yo soy el segundo
No te acerques, soy el peor hombre del mundo (¿Ah, no?)
Voy salido después de que lo hundo (Chao)
Llegué, me vine y fuiste, no me ves en un segundo
Mi papá sí era el peor, mami, yo soy el segundo

¿Que tengo sentimientos? Claro, mi amor, pero no por vos
Su amiga está muy banana, métala en arroz (Ah)
De buena, muy bandera, pero que quede entre nos (Oh, wow)
Quítele esos tacones y pongále unas Crocs (¡Ah!)
Ese tin está muy wow, mírelas como las tiene (Ey)
Yo vine con la misión de repartir el ADN (Ey)
La güacha no pide vapo, mantiene es pidiendo pene
Aquí le dan lo que pida, mi amor, diga lo que quiere (¿Qué quiere, amor?)
Busque otro parchadero, aquí nos tiene e' muy chapeao'
Desde el primero de enero ya venimos chacalea'os
Pa' que la defiendan duro, mami, llame al aboga'o
¿Cuál?; Jaja, puta, el que tengo aquí colga'o (Jaja)
No, mi amor, muy sorola, ¿cómo va a caer en eso?

Bañadito y oloroso, con el chimbo afeita'o (Eso)
Yo comiendo mela'o, vos comiendo embola'o
Sus putas todas las amo porque no me han cobra'o (Eah)
Le dejo el culo choca'o y no sale con copa'o (Wow)

No te acerques, soy el peor hombre del mundo (Ah)
Voy salido después de que lo hundo (Me fui)
Llego y me vine y fuiste, no me ves en un segundo
Mi papá sí era el peor, mami, yo soy el segundo
No te acerques, soy el peor hombre del mundo (No)
Voy salido después de que lo hundo
Llegué, me vine y fuiste, no me ves en un segundo
Mi papá sí era el peor, mami, yo soy el segundo

Yo soy el segundo porque el cucho mío sí era el peor del mundo
Ah, sí
Qué hijueputas (¿Sí sabe?)
Que en paz descanse el viejo, amén
Monja, don't got mercy on these bitches
Ja, Monja
Jaja, Ave María, mi amor
Jaco, Noah
Desde la ciudad del Coltejer
Siempre Blessd
Geezy, ey
24"
131,Yiyo Sarante,Manos de Tijera,Colombia,5ds1Hh3lo4JUF2vflqyayK,"Mormonee llego el maldito number onee
El rey del ajedre utede son mi peonee
Mafioso como alcapone poeta como lugone
Las chicas kieren k cante aunke yo no les entone
Volvio el loco fran el k te pone de la nuca
Kemando como tuca un disparo de bazooka
Ke te da en la cara y ta la defigura
Ya traje la pala eta e tu sepultuuuraaa
Manso manso yo te descanso
Si corres te alcanzo yo rimo i no canso
En el bit te danzo con flow me abalanzo
Vo solo vеnite y me sobate еl ganso
Te mueves te pauso te saco del medio
Recibido en el rap con 10 de promedio
Si te siente mal yo soy tu remedio
Canabis sativa sembrada en mi predio
El flakito con talento derrochando un poco e facha
Causando sensacione y temblore en las bombacha
Vo tai de cachavacha montado en una escoba
Yo voy tirando el humo en el cielo ta la loba
Soy rey y mi corona es toda esta familia
Mis soldados estan ready pa borrate la sonrrisa
Te mezclamo con la tiza 4 corte como piza
El k rima es frankachela el wacho k lo analiza
En mi misa y soy el papa papa franka siempre tranka
Tengo todo tipo e yuyo pa tomamesiempre un branca
De la blanca la k pega loco fran y el estratega
Cfc no e chamuyo las mujere se no entregan
En el rap piso cabeza como juan roman el fulbo
Soy diestro gile adiestro y en el arco soy un pulpo
Tengo banda de letra ma bala k una metra
Soy del barrio como plaza soy del baile como el tetra
Loco fran suena en to lado no se k dicen eto boboo
Yo soy una persona fiel ni por plata me retobo
Soy diferente a muchos pero casi igual k todos
Me toco ete destino como le toco a frodoo
Si me jode yo te jodo no perdono tai bobina
Lo k grabo en la cabina son vivencia de la eskina
Cansado de decirte k vo no pode con rimaa
Por k todos ya lo vieron como tus cantos se abrian..
Oooooo por k somo del guetooooooo
Estoo no es un regeetoooooooooooon
Dejen de lengudia ganen solo el respeto...
Muchos insisten en k existen i en verdad no acen nada
Si mi rap es fantasia yo soy genio vos la ada
Te voy a enterrar la bara pa k ya te calles
Criticones de la web k no saben mas k acer
Pa kitame el estres ya sabe lo acemo facil
Se la tira de choro y este es mas manso k lassy
K me dice ami si no sabe ni escribir wacho aca en cba yo soy el mejor mc
Rimo fuerte lavo mente soy fumon inteligente
Pinta de delincuente un veneno potente
K penetra en tus huesos y te descalsifica
Vo te ace el chistoso y te parece a landrisina
Ago musica de eskina i en directo para el barrio
No ponemo sensura sonamo en todo lo orario
Te rapeo te canto cuarteto cumbia y tango
Represento mi pais por eso es k me odian tanto
Yo soy un encanto como ya lo dije
Yo soy el mejor por k dios asi lo elige
Ai ai ai con maria me pongo high
No me ace falta correa pa pasiate firulai
K me digan cuanto ai por sacate la cabeza
K si ablamo de billetes estoy dispuesto a lo k sea
Aca traje la gotita pa k no abran mas la jeta
En el rap ustedes restan llegamos antes a la meta
No le va se sencillo k nos kiten lo k es nuestro
Lo k taban con ustedes ahora se volvieron neutros..."
132,Frankie Ruiz,Deseándote,Colombia,0FsXZAMf6NACvNJ2LI6ySp,"Te veo en la calle
Nuestras miradas se tropiezan y se asustan
Y en un instante se acarician, se disfrutan
Y se alejan después con disimulo
Ese hombre contigo y esa mujer
Que no conozco de mi brazo
Los dos suplentes que después de aquel fracaso
Nos buscamos tú y yo por no estar solos

Y aún me quema la memoria de tu abrazo
De la pasión que cuerpo a cuerpo nos gastamos
Y me la paso

Deseándote
Cada día, cada noche deseándote
Para hundirme en tus abismos inventándote
Cuando tiemblo y me derramo sobre ella
Deseándote
Así mismo como estas tú deseándome
En la farsa de otros labios saboreándome
Saboreándonos tan lejos y tan cerca

Te entrego mi cuarto
Con el deseo de convertirte en mi fantasía
Mientras mis manos cuál tus manos me acarician
Y sin ti, pero en ti me vuelvo loco

Y aún me quema la memoria de tu abrazo
De la pasión que cuerpo a cuerpo nos gastamos
Y me la paso

Deseándote
Cada día, cada noche deseándote
Para hundirme en tus abismos inventándote
Cuando tiemblo y me derramo sobre ella
Deseándote
Así mismo como estas tú deseándome
En la farsa de otros labios saboreándome
Saboreándonos tan lejos y tan cerca

Deseándote
Cada día, cada noche
Deseándote mujer, cada día, cada noche
Deseándote
Cada día, cada noche
Y me quema la memoria de tu abrazo
Y la pasión de tu cuerpo


Deseándote
Cada día, cada noche
Nos buscamos tú y yo cariño por no estar solos
Deseándote
Cada día, cada noche
Para hundirme en el abismo de tu cuerpo
Deseándote
Cada día, cada noche
Saboreándonos tú y yo, cada día, cada noche
Deseándote
Cada día, cada noche
Cuando nuestros cuerpos se encuentran
Disfrutamos tú y yo"
