rank,artist,title,region,language,spotify_uri
75,A-Mei Chang,人質,Taiwan,unknown,6OAUhxFZzaRHHC8XiuIkvb
76,sombr,back to friends,Taiwan,en,7qjZnBKE73H4Oxkopwulqe
77,BABYMONSTER,DRIP,Taiwan,en,1MUZitHRpmng5NevrvNx4T
78,Richael Liu,两三句,Taiwan,unknown,0BkBM5rY934yzHViRhd8Em
79,Olivia Dean,So Easy (To Fall In Love),Taiwan,en,6sGIMrtIzQjdzNndVxe397
80,"Jay Chou, A-Mei Chang",不該,Taiwan,unknown,5miH0BWhRVTvHAwmnoeyXH
81,Sam Lee,手放開,Taiwan,en,2Dd9EXYXI2NNrLG61OtWQv
82,Kenshi Yonezu,IRIS OUT,Taiwan,ja,59hVbgr8rfYkDbHfr8RcGI
83,CORTIS,"Mention Me - From The Movie ""GOAT""",Taiwan,en,3f0OEJd7mlPNhmH3fUOrqy
84,F.I.R.,月牙灣,Taiwan,zh,1b5IRT3iraxjHOsKZx93sW
85,"Lady Gaga, Bruno Mars",Die With A Smile,Taiwan,en,7so0lgd0zP2Sbgs2d7a1SZ
86,ILLIT,Magnetic,Taiwan,en,1aKvZDoLGkNMxoRYgkckZG
87,PIZZALI,做我的初戀,Taiwan,unknown,4flk8ZgDFry6o2t0SdKsnB
88,ROSÉ,number one girl,Taiwan,en,1lcBt7LoEikqYmhUoa2cez
89,A-Lin,給我一個理由忘記,Taiwan,unknown,2DcmVSLAg0ZzfOQxDshZHY
90,David Tao,就是愛妳,Taiwan,en,73eCSQ1DxQbaOnzy8PhKx3
91,Joker Xue,其实,Taiwan,zh,6Mmdzst5fLkrKjhdkGhLpe
92,DIOR 大穎,人的這一生,Taiwan,unknown,2Jox8DFhnUpJZJWLsVAsAR
93,Hearts2Hearts,FOCUS,Taiwan,en,6jYiHr12NVKLzn0X7K8aSK
94,Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）,Taiwan,unknown,1zFuSla4RQ5qAJwDIQYixW
95,Amazing Show,偷偷愛,Taiwan,zh,0L7R4dmkwk46DEZgqx1fF7
96,"Disney, Shakira",Zoo,Taiwan,en,3vJIaiTIHxHhYafTSPNiH4
97,Fish Leong,慢冷,Taiwan,zh,3NNDJfWMGHuNpvHWTImmlW
98,WeiBird,"如果可以 - 電影""月老""主題曲",Taiwan,unknown,72OVnXDzugvrCU25lMi9au
99,Ronghao Li,"不將就 (電影""何以笙簫默""片尾曲)",Taiwan,unknown,5DH8nF7aWoXXg5Sm3gjCWD
100,aespa,Rich Man,Taiwan,en,1sUjTLLCJzcxC15GUBrOlg
1,Bruno Mars,Risk It All,USA,en,5y2ijHECwFYWqcAHKTZgzD
2,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,USA,en,1DwscornXpj8fmOmYVlqZt
3,Ella Langley,Choosin' Texas,USA,en,65DbTqJKhbwqYbZ1Okr0rc
4,Bruno Mars,I Just Might,USA,en,6f68Ac5tt5BQOpwr0BV9oN
5,Bad Bunny,DtMF,USA,es,3sK8wGT43QFpWrvNQsrQya
6,Olivia Dean,Man I Need,USA,en,1qbmS6ep2hbBRaEZFpn7BX
7,Dominic Fike,Babydoll,USA,en,7yNf9YjeO5JXUE3JEBgnYc
8,Don Toliver,E85,USA,en,3B4cjvGlPvyBLNG3AzEgkZ
9,Olivia Dean,So Easy (To Fall In Love),USA,en,6sGIMrtIzQjdzNndVxe397
10,Bad Bunny,BAILE INoLVIDABLE,USA,es,2lTm559tuIvatlT1u0JYG2
11,Bad Bunny,Tití Me Preguntó,USA,es,1IHWl5LamUGEuP4ozKQSXZ
12,Bad Bunny,NUEVAYoL,USA,es,5TFD2bmFKGhoCRbX61nXY5
13,Bruno Mars,Cha Cha Cha,USA,en,6QletrrmpkUpeJkipX9pgf
14,Djo,End of Beginning,USA,en,3qhlB30KknSejmIvZZLjOD
15,Don Toliver,Body,USA,en,0FlcmZ13DGRmscCroro9GO
16,Bruno Mars,God Was Showing Off,USA,en,1sVBT215CDmVJvfy1E2OCU
17,Alex Warren,FEVER DREAM,USA,en,7ogpGbKc4Io6NCU6ydxXwZ
18,Alex Warren,Ordinary,USA,en,2RkZ5LkEzeHGRsmDqKwmaJ
19,Bad Bunny,EoO,USA,es,6J5kc12BW5HuP3d7C3vvx8
20,Bella Kay,iloveitiloveitiloveit,USA,en,5IMpnpD0tQVcqWlVIgtAtV
21,The Killers,Mr. Brightside,USA,en,003vvx7Niy0yvhvHt4a68B
22,sombr,Homewrecker,USA,en,7tICCrK3CcyRFKza7yrR0z
23,sombr,back to friends,USA,en,7qjZnBKE73H4Oxkopwulqe
24,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,USA,en,1CPZ5BxNNd0n0nF4Orb9JS
25,Taylor Swift,The Fate of Ophelia,USA,en,53iuhJlwXhSER5J2IYYv1W
26,Fleetwood Mac,Dreams - 2004 Remaster,USA,it,0ofHAoxe9vBkTCp2UQIavz
27,Bruno Mars,Why You Wanna Fight?,USA,en,3Ac4AjYkqsvop2ydbSAhTX
28,Ella Langley,Be Her,USA,en,05CjWFAcAlY6O9po6Qwakk
29,Ella Langley,weren't for the wind,USA,en,2A22iI0x4EYAVXNpKPhNEM
30,Bruno Mars,Dance With Me,USA,en,1myZ6GQewhAzMH2dKtKSWK
31,Luke Combs,Be By You,USA,en,7aLndReanHBzpTGE5Am9H8
32,Morgan Wallen,I Got Better,USA,en,4gfrYDtaRmp6HPvN80V2ob
33,RAYE,WHERE IS MY HUSBAND!,USA,en,55lijDD6OAjLFFUHU9tcDm
34,Bruno Mars,On My Soul,USA,en,4i4BVY2JiH4mDSLIBdNGKD
35,Radiohead,Creep,USA,en,70LcF31zb1H0PyJoS1Sx1r
36,The Goo Goo Dolls,Iris,USA,en,6Qyc6fS4DsZjB2mRW9DsQs
37,Lil Uzi Vert,What You Saying,USA,en,7cjoZVmWe2xsGR4wcXiV2v
38,SIENNA SPIRO,Die On This Hill,USA,en,2gYTC8DsplN3RNdpdBcCOQ
39,Zara Larsson,Lush Life,USA,en,1rIKgCH4H52lrvDcz50hS8
40,Arctic Monkeys,505,USA,en,58ge6dfP91o9oXMzq3XkIS
41,The Neighbourhood,Sweater Weather,USA,en,0cQVqPuHQP4KEwc7ZUQmj6
42,Taylor Swift,Opalite,USA,en,3yWuTOYDztXjZxdE2cIRUa
43,Noah Kahan,The Great Divide,USA,en,77zqs8ucHCSk5jh9TYec4b
44,She & Him,I Thought I Saw Your Face Today,USA,en,0myRViRgmQ3J8izICXEAVO
45,Don Toliver,No Pole,USA,en,0eaVIYo2zeOaGJeqZ5TwYz
46,Bruno Mars,Something Serious,USA,en,0PV4VQCmE6Ujssr1bnswdF
47,sombr,12 to 12,USA,en,05od2qm2MTSKCHxy1GBp5W
48,"Lady Gaga, Bruno Mars",Die With A Smile,USA,en,7so0lgd0zP2Sbgs2d7a1SZ
49,Bruno Mars,Nothing Left,USA,en,0Sq6JK9kyC4MQa3KrJj5CB
50,Dominic Fike,White Keys,USA,en,5ViLKrbyL3HD6wsq3AB9eI
51,"Waka Flocka Flame, Roscoe Dash, Wale",No Hands (feat. Roscoe Dash & Wale),USA,en,03tqyYWC9Um2ZqU0ZN849H
52,"BigXthaPlug, Ella Langley",Hell At Night (feat. Ella Langley),USA,en,3pAVk6Ydn0dcGpG8gDyxSJ
53,Whiskey Myers,Broken Window Serenade,USA,en,1VOSSXuWRcBj2rpfxNdX9v
54,Drake,Headlines,USA,en,6LxSe8YmdPxy095Ux6znaQ
55,Olivia Dean,A Couple Minutes,USA,en,312z6PZ8wwREck8613PkJk
56,Sabrina Carpenter,Manchild,USA,en,2BwO5K8Q7EPAJSGze3AAh9
57,Bruno Mars,That's What I Like,USA,en,0KKkJNfGyhkQ5aFogxQAPU
58,"Mac Miller, Empire Of The Sun",The Spins,USA,en,2QGVKiAGTa1YcDqPMhAzF7
59,Ravyn Lenae,Love Me Not,USA,en,4WFgvKVfEhb3IUAFGrutTR
60,Billie Eilish,BIRDS OF A FEATHER,USA,en,6dOtVTDdiauQNBQEDOtlAB
61,Gigi Perez,Sailor Song,USA,en,21IYMdzTrzSe191Cy5eMap
62,Malcolm Todd,Earrings,USA,en,0eAuGrXyGFYwur9ARUe7LJ
63,"Kendrick Lamar, SZA",luther (with sza),USA,unknown,2CGNAOSuO1MEFCbBRgUzjd
64,The Marías,No One Noticed,USA,en,3siwsiaEoU4Kuuc9WKMUy5
65,EsDeeKid,4 Raws,USA,en,554qQSs9lpRVq6TlaaiIKT
66,Addison Rae,Fame is a Gun,USA,en,7B3BwNecBhKvNwSMOOl7Gk
67,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),USA,ja,4KULAymBBJcPRpk1yO4dOG
68,Fetty Wap,Trap Queen,USA,en,2d8JP84HNLKhmd6IYOoupQ
69,Tame Impala,The Less I Know The Better,USA,en,6K4t31amVTZDgR3sKmwUJJ
70,"Drake, Wizkid, Kyla",One Dance,USA,tr,1zi7xx7UVEFkmKfv06H8x0
71,"White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)",USA,unknown,7gF2mPcjipv2hLGHY7bi17
72,Morgan Wallen,I'm The Problem,USA,en,7AeM1BGYM7emrqmQn1PuWv
73,Bad Bunny,VOY A LLeVARTE PA PR,USA,es,59D4DOkspUbWyMmbAPQkxZ
74,Brent Faiyaz,butterflies.,USA,en,4jyyma8YdFC4S4llusSFRu
75,Daniel Caesar,Who Knows,USA,en,6DH13QYXK7lKkYHSU88N48
76,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",USA,en,3GCdLUSnKSMJhs4Tj6CV3s
77,J. Cole,No Role Modelz,USA,en,68Dni7IE4VyPkTOH9mRWHr
78,Tame Impala,Dracula,USA,en,1NXbNEAcPvY5G1xvfN57aA
79,Benson Boone,Beautiful Things,USA,en,3xkHsmpQCBMytMJNiDf3Ii
80,Chappell Roan,Pink Pony Club,USA,en,6393yGahSJ9slVdOwSxOVR
81,Frank Ocean,Nights,USA,en,7eqoqGkKwgOaWNNHx90uEZ
82,Lit,My Own Worst Enemy,USA,en,33iv3wnGMrrDugd7GBso1z
83,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),USA,tr,0FIDCNYYjNvPVimz5icugS
84,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),USA,pt,5IZXB5IKAD2qlvTPJYDCFB
85,"Disco Lines, Tinashe",No Broke Boys,USA,en,3cZajhyr8LmtPfHZ9296tj
86,Zach Bryan,Something in the Orange,USA,en,3WMj8moIAXJhHsyLaqIIHI
87,Coldplay,Sparks,USA,en,7D0RhFcb3CrfPuTJ0obrod
88,Foo Fighters,Everlong,USA,en,5UWwZ5lm5PKu6eKsHAGxOk
89,Teddy Swims,Lose Control,USA,en,17phhZDn6oGtzMe56NuWvj
90,Chris Stapleton,You Should Probably Leave,USA,en,2UikqkwBv7aIvlixeVXHWt
91,Childish Gambino,Les,USA,en,7ghKr0pCYyPPyp7t1FH8k4
92,Drake,Passionfruit,USA,en,5mCPDVBb16L4XQwDdbRUpz
93,"Nelly Furtado, Timbaland",Promiscuous,USA,de,2gam98EZKrF9XuOkU13ApN
94,"Kanye West, Dwele",Flashing Lights,USA,es,5TRPicyLGbAF2LGBFbHGvO
95,Fleetwood Mac,The Chain - 2004 Remaster,USA,en,5e9TFTbltYBg2xThimr0rU
96,Fleetwood Mac,Landslide,USA,en,5ihS6UUlyQAfmp48eSkxuQ
97,Rihanna,Don't Stop The Music,USA,en,1Jo0Zg7XlrA6z0mFTZVdkn
98,Chappell Roan,"Good Luck, Babe!",USA,en,0WbMK4wrZ1wFSty9F7FCgu
99,Bruno Mars,Locked out of Heaven,USA,en,5g7sDjBhZ4I3gcFIpkrLuI
100,The Police,Every Breath You Take,USA,en,1JSTJqkT5qHq8MDJnJbRE1
101,"Kenny Die, Blessd, Kris R., Sebas",Ultra Complicado (feat. Sebas) - Remix,Colombia,es,569xAmXCkpM3IsEOiG4hWe
102,"Topboy TGR, Kzadores",MÁS DE AHÍ,Colombia,es,4ATzrqMF84B9iSCGUUqfTT
103,Yeison Jimenez,Se Acabó,Colombia,es,2T6BBNQW4t81x2ddqWrGzs
104,"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",Colombia,es,10B0cONtHL7b8hdMRE2Du6
105,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),Colombia,es,5q2JbCNi4FcnglgPfxcV65
106,Fuerza Regida,Marlboro Rojo,Colombia,es,3hpm0fTeSqlhJbnqAgaLZs
107,Frankie Ruiz,Tú Con Él,Colombia,es,6cHHrFD3fmBG9MR3k8kvep
108,"KAROL G, Marco Antonio Solís",Coleccionando Heridas,Colombia,es,3ddJ8Vbc5tYPxq5zKRVke6
109,Bad Bunny,MONACO,Colombia,es,4MjDJD8cW7iVeWInc2Bdyj
110,Yeison Jimenez,Ni Tengo Ni Necesito,Colombia,es,6829KtrgNt2ZwrsE19nTEd
111,"Kris R., Blessd",Las Piponas (Remix),Colombia,es,281YJmnThveWjsWVic9Ym6
112,Luister La Voz,Amarte más no pude - En vivo,Colombia,fr,1OHj2WRXOR9XdCV6PuptXv
113,"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,Colombia,es,2ALQyXMC26Vew7JX7ert9M
114,"Rauw Alejandro, Romeo Santos",Khé?,Colombia,es,1YYfyJ2yCvGFCxwjsIqEK9
115,Yeison Jimenez,Qué Día Es Hoy,Colombia,es,5PB1ITleNasy7UMYEaBWkL
116,Zion & Lennox,La player (Bandolera),Colombia,es,0VKkyBKCXyR99navhVRqcP
117,"Kris R., Blessd",COSITAS,Colombia,es,3ClyThLf2bguwdMcm7hqZ2
118,"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",UNA NOCHE DE LOCURA,Colombia,es,2tKVinInf0PJS1iG04zzqi
119,Beéle,si te pillara,Colombia,es,1C7NXX8UJ6pgNx8EkmyZDd
120,"Don Omar, Kendo Kapponi",RX,Colombia,es,3NgDulHteTVdF026IxY5bW
121,Willie Colón,Oh Qué Será?,Colombia,es,2n1MTLCis6qPSDKdr5XSDI
122,Blessd,Palabras Sobran,Colombia,es,4wu7jIeJCUhQJaXsXVit0e
123,KAROL G,Si Antes Te Hubiera Conocido,Colombia,es,73scB4Q4fcOmnsBVZPmk32
124,ARIA VEGA,AY MAMA (mi tiburón),Colombia,es,7yHZ66udwjeUafGohI7T46
125,Yeison Jimenez,Aventurero,Colombia,es,0ftcn4ddKESqQMA784Ebc0
126,Willie Colón,Gitana,Colombia,es,4VTb5wB46sZDsfL8XgroGt
127,Tito Rojas,Siempre Sere,Colombia,es,4ZGk5h0sIfeunWEKzXEoHr
128,Yandel,Encantadora,Colombia,es,7LABrQFfRYcZUqUwng0Heb
129,Yiyo Sarante,Corazon de Acero,Colombia,es,21nc3O8OncUv1jjSrC1ML2
130,GeezyDee,El Peor Hombre Del Mundo,Colombia,es,0TBFzXKWtoF7Lwh0LKFt8f
131,Yiyo Sarante,Manos de Tijera,Colombia,es,5ds1Hh3lo4JUF2vflqyayK
132,Frankie Ruiz,Deseándote,Colombia,es,0FsXZAMf6NACvNJ2LI6ySp
133,"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete",Guaro (Remix),Colombia,es,5sMHuOIvtsSuFZafTcF19Q
134,"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),Colombia,en,3QwBODjSEzelZyVjxPOHdq
135,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Colombia,es,34vXRJ2bCSFiZKQzVUYVOb
136,Yeison Jimenez,Te Voy a Olvidar,Colombia,es,6jbDhMUR3Hc3yVPT2tEVxY
137,"W Sound, Myke Towers, Ovy On The Drums",5 Estrellas - W Sound 23,Colombia,es,7hYlC6s0SXSIwtFlW6NgjT
138,"Romeo Santos, Prince Royce",Dardos,Colombia,es,5SudOD9R1Of6CsJVWZy6CQ
139,Grupo Niche,Sin Sentimientos,Colombia,es,7xDwU3I38ReireLvv79h63
140,"Yeison Jimenez, Pasabordo",Hasta La Madre,Colombia,es,1nDvFYTsaQwxt5CTk7LJ5E
141,Clarent,BIENVENIDA,Colombia,es,7zwgHkTKv86nMOREN5k1hx
142,Yeison Jimenez,Tu Mal Sabor,Colombia,es,1LNLFgc99bgCWPAaJ9zUQi
143,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,Colombia,en,2beS6dD5rovBxSA1zYoSHR
144,Beéle,frente al mar,Colombia,es,1i1n7hUzCDkXGFqIJSSzom
145,"Maluma, Yeison Jimenez",Con el Corazón,Colombia,es,1xTWu5aArww0QtXqX2ScBI
146,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,Colombia,es,7hynhxDoDpgMIV12JuVtNa
147,"El Americano 4KT, THE FAVORITES",MAMAXITA,Colombia,es,3UJN0IUZIeXnrmo48e6XXx
148,Aventura,Dile al Amor,Colombia,es,2Bhmj4XK33InfhqKPxcJ1v
149,"Peso Pluma, Estevan Plazola",HOLLYWOOD,Colombia,es,5GTBdEjZe7zEDp1N0eCZE4
150,Rayo & Toby,Movimiento de Caderas,Colombia,es,5u4XWSNpF4wE6W6i78Uf1B
151,Fuerza Regida,ANSIEDAD,Colombia,es,1a7onn7lPqqRWul5ogyMyX
152,Aventura,El Perdedor,Colombia,es,27ze5t5tIDPlVits0KRbxT
153,Tego Calderón,Pa' Que Retozen,Colombia,es,5YJ4BVvTFmVCxUyhKejHfR
154,"Georgy Parra Salvaje, Yeison Jimenez",GPS #5 - Dime Que Sí,Colombia,es,7BNTVOitDoUC5HVN8HleQy
155,BTS,Dynamite,Colombia,en,5QDLhrAOJJdNAmCTJ8xMyW
156,"J Balvin, Bad Bunny",QUE PRETENDES,Colombia,es,25ZAibhr3bdlMCLmubZDVt
157,Mon Laferte,Tu Falta De Querer,Colombia,es,4skuEIloXWuxxgekKupkEH
159,ROA,FANTASÍA,Colombia,es,5hWpXZOs7vpz0JD3CIylsb
160,"Blessd, CARABIN3, SVNTI",MUSA REMIX,Colombia,es,5ReIuecGjsHabpYSNlKnuR
161,Don Omar,Dile,Colombia,es,69Ej1xrGjOcHvIMtMKxK0G
162,"Ryan Castro, Blaiz Fayah, Tribal Kush",BOMBASTIK<3,Colombia,es,2Kx9AfJPaJib9DwAdDYdB9
163,Luister La Voz,Las Cartas,Colombia,es,73BrH4q0vUdhT34uK9j98O
164,"Ryan Castro, Blessd",LEJANIA,Colombia,es,4py8x8qXCOTi0Rrm4NbCTK
165,Ele A El Dominio,Hace Mucho Tiempo,Colombia,es,3eIvjtwoYC16ElxYE6ph7J
166,"Trap Capos, Noriel, Bad Bunny, Arcángel",De las 2 (feat. Bad Bunny & Arcángel),Colombia,es,4DS7HoqrKq1dDjeYOKBlu9
167,"Bad Bunny, Feid",PERRO NEGRO,Colombia,en,7iQXYTyuG13aoeHxGG28Nh
168,Grupo Niche,Algo Que Se Quede,Colombia,es,1JXcB149QtbcIpDUA6YZOB
169,"Alleh, Yorghaki",capaz (merengueton),Colombia,es,2dd3G3ZqEcG2cNS1tp3oEk
170,"Alexis y Fido, Arcángel, De La Ghetto",Camuflaje (Remix),Colombia,es,1dAQ93kw8Sy9n4JCz2G9Nf
171,Los Hijos De Puerto Rico,Separados,Colombia,es,2HbmLkHkkI15eES8kpWRuI
172,Adolescent's Orquesta,Virgen,Colombia,es,5HCGrYR7g9u2X9Ju83yQLm
173,"El Americano 4KT, Tony Monta",WELCOME,Colombia,es,2lGGv17kLfOrdVzNFzuQWM
174,Yeison Jimenez,Maldita Traga,Colombia,unknown,4ysgNOWbc02RUnCxQMzpeL
175,"Luis Silva, Yeison Jimenez",Como No Voy a Decirlo,Colombia,es,0ToktqlTchGYvCRHUCWnG5
176,"Blessd, Hades66, Blackinny, Young Fatty",MAS QUE AMIGOS,Colombia,es,0sOrHE0vkEhrmWZnhqjP36
177,"Oscar Maydon, Fuerza Regida",Tu Boda,Colombia,es,5mp6OBKCAjN4UYRvhOuUze
178,Omar Courtz,⁠LUCES DE COLORES,Colombia,es,5dDlknAL9imbXXl7uG7oqe
179,"La Factoria, Eddy Lover",Perdóname,Colombia,es,6yLqoieklk9gwabLaUDJ4s
180,"Piso 21, Marc Anthony, Beéle",Volver,Colombia,es,61C7zXd4t2Zuhz6DRwgsLM
181,Farruko,Cositas Que Haciamos,Colombia,es,5BrVJGkFTBPAMRl5hIE9A7
182,"Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee","MIU MIU (feat. GeezyDee, CARABIN3)",Colombia,es,1btsXTZnL2wVSW8oDWvjMM
183,Willie Colón,Talento De Televisión,Colombia,es,3fRIuTih8bzc0vtY9fHhvF
184,"Don Omar, Plan B",Hooka,Colombia,es,0BenZn1xELuxhb7Pjwyjxv
185,Blessd,Instagram,Colombia,es,0EFxJw34fK8DWlTxx9qYeW
186,Juliana,El AchanTAdo,Colombia,es,3fr52NaaVxb2UxPNxDtaQx
187,"J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor",Colombia,es,4eDjNcAyIuJFhQ31Fvvoc1
188,Maluma,El Perdedor,Colombia,es,1iEwyiSLAunPR6uouANE0O
189,"Victor Valverde, JR Torres",El Mayor De Los Ranas,Colombia,es,6v5qt5KPQHJt5ckWuhDGtM
190,Luis Enrique,Yo No Sé Mañana,Colombia,es,5jJTqI5yteOyLWoDTjiHCO
191,Hades66,YO QUIERO,Colombia,es,47sQ0h1xhlDWJ3nHbwYPrg
192,Fuerza Regida,TU SANCHO,Colombia,es,6eLQXa6uk2EW8drsiKbABZ
193,"GeezyDee, Kris R.",Parche Tranqui,Colombia,es,2ROj8GoI45RQouYomaLDTm
194,Jose Luis Carrascal,Como Duele El Frio,Colombia,es,2QcUxndr7skMMHLElnl4Bo
195,Fresto Music,Me Hace Daño Verte,Colombia,es,4dyzxv5SsdBtunuU3qj7Ti
196,David Pabon,Aquel Viejo Motel,Colombia,es,286NP8kXWzx2uHb5tr7TGv
197,Frankie Ruiz,Desnúdate Mujer,Colombia,es,65nL3OLuHHfEYxKkHMQ1fL
198,"Grupo Firme, Gerardo Coronel",Qué Onda Perdida,Colombia,es,6IV5Y1eWaQZ1jV5apkUMS4
199,Romeo Santos,Eres Mía,Colombia,es,6I86RF3odBlcuZA9Vfjzeq
200,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Colombia,es,3k3NWokhRRkEPhCzPmV8TW
101,Evanescence,Bring Me To Life,Global,en,0COqiPhxzoWICwFCS4eZcp
102,Bruno Mars,When I Was Your Man,Global,en,0B7wvvmu9EISAwZnOpjhNI
103,Empire Of The Sun,We Are The People,Global,en,3zEN0ii6s4DHHBpnTp3RP7
104,"Don Omar, Lucenzo",Danza Kuduro,Global,es,2a1o6ZejUi8U3wzzOtCOYw
105,Fuerza Regida,Marlboro Rojo,Global,es,3hpm0fTeSqlhJbnqAgaLZs
107,Olivia Dean,Nice To Each Other,Global,en,7gKxCvTDWwV9wBhdeBbr3l
110,Piche Kota,Bahagia Lagi,Global,id,5tZaKZPJtiHh6teQfVEHB5
112,Ed Sheeran,Shape of You,Global,en,7qiZfU4dY1lWllzX7mPBI3
113,"DJ Snake, Justin Bieber",Let Me Love You,Global,en,0lYBSQXN6rCTvUZvg9S0lU
114,The Script,The Man Who Can't Be Moved,Global,en,3nqqDo8CcCLke3ZoTgiOKf
115,Harry Styles,Aperture,Global,en,45Z3m6yazmAi4jZuW0tzW0
116,Zara Larsson,Midnight Sun,Global,en,1qRV1dKLOfH1s00b9J2LUQ
117,Lana Del Rey,Cinnamon Girl,Global,en,2mdEsXPu8ZmkHRRtAdC09e
118,Tyla,CHANEL,Global,en,4VxTzYm00mg82MuoT35Ja7
119,The Weeknd,Blinding Lights,Global,en,0VjIjW4GlUZAMYd2vXMi3b
122,Nirvana,Smells Like Teen Spirit,Global,en,0gucTLf7trAf37Ua1uAyAu
123,"Tame Impala, JENNIE",Dracula - JENNIE Remix,Global,en,5yvVYFDUpbnjcnRBgjwTzM
124,KAROL G,Si Antes Te Hubiera Conocido,Global,es,73scB4Q4fcOmnsBVZPmk32
125,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Global,ru,4QNpBfC0zvjKqPJcyqBy9W
126,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Global,es,7KA4W4McWYRpgf0fWsJZWB
129,Justin Bieber,DAISIES,Global,en,5BZsQlgw21vDOAjoqkNgKb
130,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),Global,en,3d0WouFnFmr0K3kjeza3fF
131,Keane,Somewhere Only We Know,Global,en,0ll8uFnc0nANY35E0Lfxvg
132,Rihanna,Only Girl (In The World),Global,en,2ENexcMEMsYk0rVJigVD3i
135,Kehlani,Folded,Global,en,0bxPRWprUVpQK0UFcddkrA
136,Eminem,Without Me,Global,en,7lQ8MOhq6IN2w8EYcFNSUk
137,OneRepublic,Counting Stars,Global,en,2tpWsVSb9UEmDRxAl1zhX1
138,TOTO,Africa,Global,en,2374M0fQpWi3dLnB54qaLX
139,Linkin Park,Numb,Global,en,2nLtzopw4rPReszdYBJU6h
142,Lana Del Rey,Young And Beautiful,Global,en,2nMeu6UenVvwUktBCpLMK9
143,Ed Sheeran,Perfect,Global,en,0tgVpDi06FyKpA1z0VMD4v
144,Laufey,From The Start,Global,en,43iIQbw5hx986dUEZbr3eN
145,Idgitaf,Sedia Aku Sebelum Hujan,Global,id,64qfw9JZl3RYCrq4Mn0WvT
146,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Global,tr,22skzmqfdWrjJylampe0kt
148,Radiohead,Let Down,Global,en,2fuYa3Lx06QQJAm0MjztKr
149,Cigarettes After Sex,Apocalypse,Global,en,1oAwsWBovWRIp7qLMGPIet
151,"Rihanna, Calvin Harris",We Found Love,Global,en,1zv3WFUbZ5vPxFq9I2jAU1
152,"Sam Fender, Olivia Dean",Rein Me In (with Olivia Dean),Global,en,0MUXBhPUDF8or0kfQ0EHwV
153,Creedence Clearwater Revival,Have You Ever Seen The Rain,Global,en,2LawezPeJhN4AWuSB0GtAU
155,Justin Bieber,Sorry,Global,en,09CtPGIpYB4BrO8qb1RGsF
156,Bruno Mars,It Will Rain,Global,en,4rMNgxEwGWoPHIUcvB5BrB
157,Rihanna,Kiss It Better,Global,en,0UHB9METy4VCXNgkcGqHqS
158,Tom Odell,Another Love,Global,en,7jtQIBanIiJOMS6RyCx6jZ
159,"Peso Pluma, Tito Double P, LENCHO",chiclona,Global,es,5Q4HTsEGKanxOwL1nYCnhQ
160,Guns N' Roses,Sweet Child O' Mine,Global,en,7snQQk1zcKl8gZ92AnueZW
161,"The Chainsmokers, Halsey",Closer,Global,en,7BKLCZ1jbUBVqRi2FVlTVw
162,Tears For Fears,Everybody Wants To Rule The World,Global,en,2YiCMmONQcoMPX2bV1LxE0
164,Ed Sheeran,Photograph,Global,en,6fxVffaTuwjgEk5h9QyRjy
165,"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),Global,unknown,2yWlGEgEfPot0lv3OAjuG3
166,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores,Global,pt,4G7bbgD2DHORU4frrWoCXp
168,Lady Gaga,Poker Face,Global,en,1QV6tiMFM6fSOKOGLMHYYg
