artist,title,language,spotify_uri
Bad Bunny,EoO,es,6J5kc12BW5HuP3d7C3vvx8
Bella Kay,iloveitiloveitiloveit,en,5IMpnpD0tQVcqWlVIgtAtV
The Killers,Mr. Brightside,en,003vvx7Niy0yvhvHt4a68B
sombr,Homewrecker,en,7tICCrK3CcyRFKza7yrR0z
sombr,back to friends,en,7qjZnBKE73H4Oxkopwulqe
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,en,1CPZ5BxNNd0n0nF4Orb9JS
Taylor Swift,The Fate of Ophelia,en,53iuhJlwXhSER5J2IYYv1W
Fleetwood Mac,Dreams - 2004 Remaster,en,0ofHAoxe9vBkTCp2UQIavz
Bruno Mars,Why You Wanna Fight?,en,3Ac4AjYkqsvop2ydbSAhTX
Ella Langley,Be Her,en,05CjWFAcAlY6O9po6Qwakk
Ella Langley,weren't for the wind,en,2A22iI0x4EYAVXNpKPhNEM
Bruno Mars,Dance With Me,en,1myZ6GQewhAzMH2dKtKSWK
Luke Combs,Be By You,en,7aLndReanHBzpTGE5Am9H8
Morgan Wallen,I Got Better,en,4gfrYDtaRmp6HPvN80V2ob
RAYE,WHERE IS MY HUSBAND!,en,55lijDD6OAjLFFUHU9tcDm
Bruno Mars,On My Soul,en,4i4BVY2JiH4mDSLIBdNGKD
Radiohead,Creep,en,70LcF31zb1H0PyJoS1Sx1r
The Goo Goo Dolls,Iris,en,6Qyc6fS4DsZjB2mRW9DsQs
Lil Uzi Vert,What You Saying,en,7cjoZVmWe2xsGR4wcXiV2v
SIENNA SPIRO,Die On This Hill,en,2gYTC8DsplN3RNdpdBcCOQ
Zara Larsson,Lush Life,en,1rIKgCH4H52lrvDcz50hS8
Arctic Monkeys,505,en,58ge6dfP91o9oXMzq3XkIS
The Neighbourhood,Sweater Weather,en,0cQVqPuHQP4KEwc7ZUQmj6
Taylor Swift,Opalite,en,3yWuTOYDztXjZxdE2cIRUa
Noah Kahan,The Great Divide,en,77zqs8ucHCSk5jh9TYec4b
She & Him,I Thought I Saw Your Face Today,en,0myRViRgmQ3J8izICXEAVO
Don Toliver,No Pole,en,0eaVIYo2zeOaGJeqZ5TwYz
Bruno Mars,Something Serious,en,0PV4VQCmE6Ujssr1bnswdF
sombr,12 to 12,en,05od2qm2MTSKCHxy1GBp5W
"Lady Gaga, Bruno Mars",Die With A Smile,en,7so0lgd0zP2Sbgs2d7a1SZ
Bruno Mars,Nothing Left,en,0Sq6JK9kyC4MQa3KrJj5CB
Dominic Fike,White Keys,en,5ViLKrbyL3HD6wsq3AB9eI
"Waka Flocka Flame, Roscoe Dash, Wale",No Hands (feat. Roscoe Dash & Wale),en,03tqyYWC9Um2ZqU0ZN849H
"BigXthaPlug, Ella Langley",Hell At Night (feat. Ella Langley),en,3pAVk6Ydn0dcGpG8gDyxSJ
Whiskey Myers,Broken Window Serenade,en,1VOSSXuWRcBj2rpfxNdX9v
Drake,Headlines,en,6LxSe8YmdPxy095Ux6znaQ
Olivia Dean,A Couple Minutes,en,312z6PZ8wwREck8613PkJk
Sabrina Carpenter,Manchild,en,2BwO5K8Q7EPAJSGze3AAh9
Bruno Mars,That's What I Like,en,0KKkJNfGyhkQ5aFogxQAPU
"Mac Miller, Empire Of The Sun",The Spins,en,2QGVKiAGTa1YcDqPMhAzF7
Ravyn Lenae,Love Me Not,en,4WFgvKVfEhb3IUAFGrutTR
Billie Eilish,BIRDS OF A FEATHER,en,6dOtVTDdiauQNBQEDOtlAB
Gigi Perez,Sailor Song,en,21IYMdzTrzSe191Cy5eMap
Malcolm Todd,Earrings,en,0eAuGrXyGFYwur9ARUe7LJ
"Kendrick Lamar, SZA",luther (with sza),unknown,2CGNAOSuO1MEFCbBRgUzjd
The Marías,No One Noticed,en,3siwsiaEoU4Kuuc9WKMUy5
EsDeeKid,4 Raws,en,554qQSs9lpRVq6TlaaiIKT
Addison Rae,Fame is a Gun,en,7B3BwNecBhKvNwSMOOl7Gk
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),ja,4KULAymBBJcPRpk1yO4dOG
Fetty Wap,Trap Queen,en,2d8JP84HNLKhmd6IYOoupQ
Tame Impala,The Less I Know The Better,en,6K4t31amVTZDgR3sKmwUJJ
"Drake, Wizkid, Kyla",One Dance,tr,1zi7xx7UVEFkmKfv06H8x0
"White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)",unknown,7gF2mPcjipv2hLGHY7bi17
Morgan Wallen,I'm The Problem,en,7AeM1BGYM7emrqmQn1PuWv
Bad Bunny,VOY A LLeVARTE PA PR,es,59D4DOkspUbWyMmbAPQkxZ
Brent Faiyaz,butterflies.,en,4jyyma8YdFC4S4llusSFRu
Daniel Caesar,Who Knows,en,6DH13QYXK7lKkYHSU88N48
"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",en,3GCdLUSnKSMJhs4Tj6CV3s
J. Cole,No Role Modelz,en,68Dni7IE4VyPkTOH9mRWHr
Tame Impala,Dracula,en,1NXbNEAcPvY5G1xvfN57aA
Benson Boone,Beautiful Things,en,3xkHsmpQCBMytMJNiDf3Ii
Chappell Roan,Pink Pony Club,en,6393yGahSJ9slVdOwSxOVR
Frank Ocean,Nights,en,7eqoqGkKwgOaWNNHx90uEZ
Lit,My Own Worst Enemy,en,33iv3wnGMrrDugd7GBso1z
"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),tr,0FIDCNYYjNvPVimz5icugS
"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),pt,5IZXB5IKAD2qlvTPJYDCFB
"Disco Lines, Tinashe",No Broke Boys,en,3cZajhyr8LmtPfHZ9296tj
Zach Bryan,Something in the Orange,en,3WMj8moIAXJhHsyLaqIIHI
Coldplay,Sparks,en,7D0RhFcb3CrfPuTJ0obrod
Foo Fighters,Everlong,pt,5UWwZ5lm5PKu6eKsHAGxOk
Teddy Swims,Lose Control,en,17phhZDn6oGtzMe56NuWvj
Chris Stapleton,You Should Probably Leave,en,2UikqkwBv7aIvlixeVXHWt
Childish Gambino,Les,en,7ghKr0pCYyPPyp7t1FH8k4
Drake,Passionfruit,en,5mCPDVBb16L4XQwDdbRUpz
"Nelly Furtado, Timbaland",Promiscuous,de,2gam98EZKrF9XuOkU13ApN
"Kanye West, Dwele",Flashing Lights,es,5TRPicyLGbAF2LGBFbHGvO
Fleetwood Mac,The Chain - 2004 Remaster,en,5e9TFTbltYBg2xThimr0rU
Fleetwood Mac,Landslide,en,5ihS6UUlyQAfmp48eSkxuQ
Rihanna,Don't Stop The Music,en,1Jo0Zg7XlrA6z0mFTZVdkn
Chappell Roan,"Good Luck, Babe!",en,0WbMK4wrZ1wFSty9F7FCgu
Bruno Mars,Locked out of Heaven,en,5g7sDjBhZ4I3gcFIpkrLuI
The Police,Every Breath You Take,en,1JSTJqkT5qHq8MDJnJbRE1
