rank,artist,title,region,spotify_uri,dominant_emotion,dominant_score,low_confidence,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
122,Nirvana,Smells Like Teen Spirit,Global,0gucTLf7trAf37Ua1uAyAu,sensual,0.7195,False,0.0077,0.2591,0.5462,0.0144,0.0155,0.1297,0.0135,0.1968,0.7195,0.0769
123,"Tame Impala, JENNIE",Dracula - JENNIE Remix,Global,5yvVYFDUpbnjcnRBgjwTzM,longing,0.5856,False,0.4222,0.5856,0.0174,0.0781,0.0354,0.1645,0.4012,0.4993,0.5146,0.0996
124,KAROL G,Si Antes Te Hubiera Conocido,Global,73scB4Q4fcOmnsBVZPmk32,longing,0.9843,False,0.6859,0.9843,0.0465,0.3908,0.3937,0.121,0.9564,0.5149,0.9138,0.6576
125,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Global,4QNpBfC0zvjKqPJcyqBy9W,longing,0.9458,False,0.5828,0.9458,0.2312,0.4626,0.442,0.4913,0.4838,0.5247,0.8139,0.2489
126,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Global,7KA4W4McWYRpgf0fWsJZWB,sensual,0.9346,False,0.7444,0.9337,0.1505,0.112,0.0256,0.0859,0.3027,0.4767,0.9346,0.0335
128,Don Toliver,No Pole,Global,0eaVIYo2zeOaGJeqZ5TwYz,lonely,0.875,False,0.3808,0.5625,0.0392,0.8416,0.6583,0.8057,0.1693,0.875,0.526,0.7467
129,Justin Bieber,DAISIES,Global,5BZsQlgw21vDOAjoqkNgKb,love,0.9901,False,0.9901,0.9864,0.0515,0.8892,0.5136,0.0881,0.5692,0.8132,0.9864,0.0278
130,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),Global,3d0WouFnFmr0K3kjeza3fF,sensual,0.9673,False,0.305,0.7772,0.1596,0.0032,0.003,0.0047,0.2149,0.0536,0.9673,0.0134
131,Keane,Somewhere Only We Know,Global,0ll8uFnc0nANY35E0Lfxvg,longing,0.989,False,0.3921,0.989,0.0584,0.9526,0.9151,0.7273,0.0555,0.987,0.8133,0.3969
132,Rihanna,Only Girl (In The World),Global,2ENexcMEMsYk0rVJigVD3i,sensual,0.9945,False,0.9796,0.9762,0.4402,0.0094,0.0111,0.0118,0.2494,0.4967,0.9945,0.1086
133,Rihanna,Don't Stop The Music,Global,1Jo0Zg7XlrA6z0mFTZVdkn,sensual,0.9768,False,0.9194,0.9699,0.6766,0.0371,0.023,0.0072,0.3939,0.1677,0.9768,0.3208
134,"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,Global,1YAWMfsmduIrpqrjP45pFn,sensual,0.974,False,0.3796,0.9729,0.0368,0.4909,0.2258,0.0507,0.0923,0.8009,0.974,0.7762
135,Kehlani,Folded,Global,0bxPRWprUVpQK0UFcddkrA,longing,0.9889,False,0.9288,0.9889,0.0301,0.9159,0.7743,0.2628,0.4007,0.9106,0.8029,0.8386
136,Eminem,Without Me,Global,7lQ8MOhq6IN2w8EYcFNSUk,lonely,0.9583,False,0.0101,0.7734,0.0704,0.0576,0.0725,0.5625,0.1293,0.9583,0.8816,0.9305
137,OneRepublic,Counting Stars,Global,2tpWsVSb9UEmDRxAl1zhX1,longing,0.994,False,0.9585,0.994,0.0657,0.8527,0.527,0.2469,0.9744,0.6264,0.781,0.2921
138,TOTO,Africa,Global,2374M0fQpWi3dLnB54qaLX,lonely,0.9687,False,0.7386,0.9681,0.0544,0.5484,0.3797,0.1042,0.8789,0.9687,0.6622,0.0301
139,Linkin Park,Numb,Global,2nLtzopw4rPReszdYBJU6h,lonely,0.9913,False,0.0033,0.6975,0.0003,0.9281,0.9232,0.9857,0.0005,0.9913,0.0351,0.6429
140,Bad Bunny,KLOuFRENS,Global,4MUrUT38U98olfnyzMBCzm,heartbreak,0.9839,False,0.5646,0.8657,0.075,0.9839,0.971,0.7855,0.024,0.9611,0.5105,0.4618
141,Danny Ocean,Me Rehúso,Global,6ifUES3keWjwXgae8pXI3o,sensual,0.8256,False,0.5641,0.792,0.005,0.7857,0.6861,0.4893,0.0512,0.626,0.8256,0.1545
142,Lana Del Rey,Young And Beautiful,Global,2nMeu6UenVvwUktBCpLMK9,longing,0.9738,False,0.9053,0.9738,0.4093,0.6293,0.2255,0.0492,0.4594,0.7234,0.9073,0.0521
143,Ed Sheeran,Perfect,Global,0tgVpDi06FyKpA1z0VMD4v,love,0.9887,False,0.9887,0.9605,0.7956,0.0057,0.0097,0.0032,0.9246,0.0548,0.9624,0.0031
144,Laufey,From The Start,Global,43iIQbw5hx986dUEZbr3eN,heartbreak,0.9918,False,0.9499,0.9911,0.0003,0.9918,0.9847,0.8878,0.0422,0.9843,0.0351,0.7809
145,Idgitaf,Sedia Aku Sebelum Hujan,Global,64qfw9JZl3RYCrq4Mn0WvT,love,0.898,False,0.898,0.6753,0.0202,0.1775,0.1414,0.0333,0.3278,0.0592,0.3043,0.0092
146,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Global,22skzmqfdWrjJylampe0kt,anger,0.7735,False,0.0861,0.6398,0.1433,0.3251,0.0726,0.1006,0.1776,0.3682,0.6389,0.7735
147,EsDeeKid,4 Raws,Global,554qQSs9lpRVq6TlaaiIKT,anger,0.9057,False,0.0169,0.4494,0.13,0.0808,0.1372,0.538,0.0678,0.5507,0.4726,0.9057
148,Radiohead,Let Down,Global,2fuYa3Lx06QQJAm0MjztKr,despair,0.9884,False,0.0005,0.0506,0.0001,0.8733,0.3835,0.9884,0.002,0.5927,0.2004,0.011
149,Cigarettes After Sex,Apocalypse,Global,1oAwsWBovWRIp7qLMGPIet,longing,0.9826,False,0.6997,0.9826,0.0023,0.9409,0.8616,0.7487,0.0512,0.7683,0.9425,0.218
150,JENNIE,like JENNIE,Global,0fK7ie6XwGxQTIkpFoWkd1,longing,0.9969,False,0.3501,0.9969,0.5525,0.3011,0.5406,0.3384,0.3554,0.4389,0.9627,0.9037
151,rihanna,We Found Love,Global,1zv3WFUbZ5vPxFq9I2jAU1,longing,0.9945,False,0.9909,0.9945,0.5936,0.426,0.5061,0.0178,0.9622,0.1157,0.9942,0.0043
152,Sam Fender,Rein Me In,Global,0MUXBhPUDF8or0kfQ0EHwV,heartbreak,0.9882,False,0.8958,0.982,0.0243,0.9882,0.9678,0.7601,0.0169,0.9754,0.7985,0.5162
153,Creedence Clearwater Revival,Have You Ever Seen The Rain,Global,2LawezPeJhN4AWuSB0GtAU,longing,0.948,False,0.0067,0.948,0.0003,0.4985,0.8076,0.5847,0.049,0.3609,0.0482,0.1649
154,BLACKPINK,Me and my,Global,5MXcM263QvCTWriH3nVusc,sensual,0.9795,False,0.4354,0.5217,0.4677,0.0072,0.0088,0.0018,0.1639,0.0552,0.9795,0.1603
155,Justin Bieber,Sorry,Global,09CtPGIpYB4BrO8qb1RGsF,heartbreak,0.8445,False,0.0087,0.4729,0.0006,0.8445,0.597,0.2458,0.1232,0.3721,0.0614,0.5253
156,Bruno Mars,It Will Rain,Global,4rMNgxEwGWoPHIUcvB5BrB,heartbreak,0.9633,False,0.7678,0.9612,0.0015,0.9633,0.9235,0.6788,0.0362,0.9212,0.1346,0.2894
157,Rihanna,Kiss It Better,Global,0UHB9METy4VCXNgkcGqHqS,longing,0.9936,False,0.7765,0.9936,0.0919,0.9727,0.8714,0.7958,0.5988,0.931,0.9414,0.803
158,Tom Odell,Another Love,Global,7jtQIBanIiJOMS6RyCx6jZ,lonely,0.9862,False,0.9709,0.9659,0.0009,0.9852,0.9338,0.4206,0.033,0.9862,0.2867,0.025
159,"Peso Pluma, Tito Double P, LENCHO",chiclona,Global,5Q4HTsEGKanxOwL1nYCnhQ,anger,0.7641,False,0.0456,0.4863,0.0358,0.0576,0.0799,0.2903,0.051,0.2681,0.5983,0.7641
160,Guns N' Roses,Sweet Child O' Mine,Global,7snQQk1zcKl8gZ92AnueZW,longing,0.9261,False,0.9077,0.9261,0.0957,0.0122,0.0357,0.001,0.0144,0.0149,0.5971,0.0002
161,"The Chainsmokers, Halsey",Closer,Global,7BKLCZ1jbUBVqRi2FVlTVw,sensual,0.9732,False,0.8941,0.9694,0.0932,0.9581,0.7687,0.2015,0.3116,0.9532,0.9732,0.8711
162,Tears For Fears,Everybody Wants To Rule The World,Global,2YiCMmONQcoMPX2bV1LxE0,grief,0.8016,False,0.5106,0.6491,0.0052,0.7982,0.8016,0.7725,0.0058,0.7382,0.4419,0.4824
163,Fleetwood Mac,The Chain - 2004 Remaster,Global,5e9TFTbltYBg2xThimr0rU,despair,0.9906,False,0.0019,0.8837,0.0002,0.963,0.9504,0.9906,0.0003,0.979,0.0929,0.9894
164,Ed Sheeran,Photograph,Global,6fxVffaTuwjgEk5h9QyRjy,love,0.9682,False,0.9682,0.9237,0.0022,0.4486,0.1495,0.006,0.1122,0.6448,0.5011,0.0037
166,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores,Global,4G7bbgD2DHORU4frrWoCXp,longing,0.9663,False,0.8828,0.9663,0.2099,0.9593,0.8741,0.1998,0.0693,0.8894,0.8395,0.7079
167,"Nelly Furtado, Timbaland",Promiscuous,Global,2gam98EZKrF9XuOkU13ApN,sensual,0.9802,False,0.3512,0.8958,0.0131,0.0056,0.0043,0.006,0.1486,0.4941,0.9802,0.024
168,Lady Gaga,Poker Face,Global,1QV6tiMFM6fSOKOGLMHYYg,love,0.9831,False,0.9831,0.9165,0.3177,0.0045,0.0042,0.0009,0.1229,0.02,0.9653,0.0042
169,Bad Bunny,MONACO,Global,4MjDJD8cW7iVeWInc2Bdyj,sensual,0.9725,False,0.5166,0.7221,0.3848,0.1613,0.2485,0.1973,0.0759,0.5001,0.9725,0.5783
170,"French Montana, Swae Lee",Unforgettable,Global,3B54sVLJ402zGa6Xm4YGNe,sensual,0.9578,False,0.368,0.8754,0.1165,0.1728,0.2043,0.1446,0.2291,0.4137,0.9578,0.3547
171,"Coolio, L.V.",Gangsta's Paradise,Global,1DIXPcTDzTj8ZMHt3PDt8p,despair,0.9647,False,0.0024,0.3842,0.0065,0.691,0.7395,0.9647,0.0015,0.946,0.2377,0.8676
172,Rihanna,Love On The Brain,Global,5oO3drDxtziYU2H1X23ZIp,love,0.9964,False,0.9964,0.9851,0.1454,0.7961,0.1244,0.0818,0.0885,0.1675,0.964,0.2634
173,Ariana Grande,we can't be friends (wait for your love),Global,51ZQ1vr10ffzbwIjDCwqm4,lonely,0.9856,False,0.962,0.9808,0.0212,0.9279,0.7434,0.4193,0.5726,0.9856,0.7237,0.4092
174,Bruno Mars,Something Serious,Global,0PV4VQCmE6Ujssr1bnswdF,longing,0.9521,False,0.9421,0.9521,0.1033,0.4243,0.3483,0.1432,0.2492,0.3857,0.7321,0.1721
175,Lana Del Rey,Summertime Sadness,Global,1FEiijYPJtyswChfcpv3p0,longing,0.9839,False,0.6477,0.9839,0.0039,0.9119,0.8619,0.027,0.0025,0.9158,0.9706,0.0053
176,Taylor Swift,Style,Global,0ug5NqcwcFR2xrfTkc7k8e,longing,0.9537,False,0.5794,0.9537,0.0367,0.2278,0.0949,0.0714,0.1126,0.9475,0.8839,0.3278
177,Twenty One Pilots,Stressed Out,Global,3CRDbSIZ4r5MsZ0YwxuEkn,longing,0.9855,False,0.0009,0.9855,0.0005,0.415,0.2859,0.1958,0.0019,0.5089,0.1313,0.0603
178,Hotel Ugly,Shut up My Moms Calling,Global,3hxIUxnT27p5WcmjGUXNwx,longing,0.9939,False,0.4994,0.9939,0.0006,0.9864,0.9664,0.8333,0.1566,0.9935,0.4578,0.231
179,Linkin Park,Somewhere I Belong,Global,3fjmSxt0PskST13CSdBUFx,lonely,0.9943,False,0.0214,0.9644,0.008,0.8142,0.6009,0.8731,0.31,0.9943,0.1617,0.1135
181,The Cure,Boys Don't Cry,Global,1QFh8OH1e78dGd3VyJZCAC,heartbreak,0.8858,False,0.1335,0.6413,0.0025,0.8858,0.7976,0.6366,0.0068,0.7279,0.0497,0.1853
182,"Maroon 5, Wiz Khalifa",Payphone,Global,1XGmzt0PVuFgQYYnV2It7A,heartbreak,0.9549,False,0.0737,0.8561,0.001,0.9549,0.8541,0.9009,0.0029,0.8842,0.1669,0.7562
183,Coldplay,The Scientist,Global,75JFxkI2RXiU7L9VXzMkle,longing,0.9768,False,0.944,0.9768,0.026,0.9681,0.9555,0.8479,0.2163,0.8102,0.7576,0.146
184,Hozier,Take Me To Church,Global,3dYD57lRAUcMHufyqn9GcI,longing,0.9716,False,0.7668,0.9716,0.2329,0.0308,0.1038,0.0098,0.5713,0.3999,0.9346,0.0032
185,Rels B,TU VAS SIN (fav),Global,6uiQ0DqbXTBc8tl0AUKZkR,love,0.9895,False,0.9895,0.989,0.4413,0.1272,0.0231,0.0122,0.4138,0.0874,0.9696,0.6309
186,Fuerza Regida,TU SANCHO,Global,6eLQXa6uk2EW8drsiKbABZ,sensual,0.9729,False,0.9293,0.9377,0.152,0.0719,0.0458,0.0186,0.154,0.707,0.9729,0.4985
187,Bruno Mars,Nothing Left,Global,0Sq6JK9kyC4MQa3KrJj5CB,longing,0.9919,False,0.9618,0.9919,0.0033,0.9897,0.9709,0.8535,0.1518,0.99,0.3144,0.2186
188,Nirvana,Come As You Are,Global,5AEOqLsRJFAoSS4ay4Jzao,longing,0.6056,False,0.0213,0.6056,0.0211,0.0636,0.1582,0.0942,0.0662,0.1611,0.2773,0.1174
189,Rihanna,S&M,Global,7ySUcLPVX7KudhnmNcgY2D,sensual,0.9867,False,0.5735,0.9711,0.3837,0.0028,0.01,0.0038,0.0409,0.0078,0.9867,0.0803
190,"The Chainsmokers, Coldplay",Something Just Like This,Global,6RUKPb4LETWmmr3iAEQktW,longing,0.9893,False,0.3179,0.9893,0.201,0.2549,0.1099,0.181,0.3087,0.9443,0.9151,0.1489
191,Chappell Roan,Pink Pony Club,Global,6393yGahSJ9slVdOwSxOVR,longing,0.9582,False,0.4152,0.9582,0.1281,0.1485,0.0375,0.0131,0.1342,0.448,0.7729,0.0718
192,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Global,0RiRZpuVRbi7oqRdSMwhQY,sensual,0.4144,False,0.0139,0.223,0.0005,0.1466,0.0889,0.0626,0.001,0.2132,0.4144,0.0843
193,Rihanna,Breakin' Dishes,Global,5EcG8eMMlwkHRVa4aTR1qd,anger,0.9885,False,0.0072,0.8491,0.0078,0.2904,0.1785,0.1011,0.0244,0.8451,0.9749,0.9885
194,"Kanye West, Dwele",Flashing Lights,Global,5TRPicyLGbAF2LGBFbHGvO,anger,0.9792,False,0.062,0.9693,0.0029,0.7459,0.5187,0.7702,0.0059,0.9591,0.9415,0.9792
195,a-ha,Take on Me,Global,04aigH9HRGebQZu1JAN6X1,love,0.9571,False,0.9571,0.8959,0.0059,0.4132,0.4535,0.2882,0.3967,0.8563,0.3498,0.0605
196,Lola Young,Messy,Global,35ISBknsCeZQtq66xABI9g,anger,0.9793,False,0.0134,0.5957,0.0013,0.2417,0.2177,0.3424,0.0095,0.8269,0.3068,0.9793
197,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Global,54PbBpquVfhfrwRwvjSXbI,heartbreak,0.9612,False,0.1926,0.9606,0.0013,0.9612,0.9286,0.8292,0.0045,0.9469,0.3104,0.4533
198,"Calvin Harris, Ellie Goulding",Outside (feat. Ellie Goulding),Global,7MmG8p0F9N3C4AXdK6o6Eb,heartbreak,0.9884,False,0.7211,0.9875,0.001,0.9884,0.9659,0.8985,0.032,0.9861,0.3846,0.97
199,Oasis,Wonderwall,Global,5qqabIl2vWzo9ApSC317sa,hope,0.9308,False,0.6713,0.8607,0.0092,0.2436,0.0495,0.0921,0.9308,0.5263,0.0951,0.0821
200,"ZXKAI, slxughter",NO BATIDÃO,Global,7vg9noSnFEyPfwLiaCW4vi,sensual,0.9818,False,0.931,0.9622,0.1017,0.3048,0.0006,0.0005,0.0487,0.0003,0.9818,0.0016
1,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),Taiwan,7G7mSV4BebkoHWwKTDvXu9,sensual,0.5213,False,0.2108,0.3943,0.0263,0.3523,0.2502,0.0629,0.0676,0.2764,0.5213,0.0166
2,BLACKPINK,GO,Taiwan,3FZPp9lBUvhsxFxKJi3VkB,heartbreak,0.9808,False,0.9629,0.9229,0.0221,0.9808,0.8478,0.6763,0.407,0.7968,0.8399,0.2018
3,Jin,Don’t Say You Love Me,Taiwan,27xkOIER6uDLKALIelHylZ,heartbreak,0.9816,False,0.0036,0.7414,0.0002,0.9816,0.9341,0.9381,0.0021,0.8527,0.0424,0.6914
5,Jimin,Who,Taiwan,7tI8dRuH2Yc6RuoTjxo4dU,longing,0.9914,False,0.9384,0.9914,0.0168,0.9358,0.7776,0.6323,0.4891,0.9746,0.5719,0.4749
6,Crowd Lu,太陽與地球,Taiwan,0bQSWXtpau3VkNI1ZcXTQA,longing,0.998,False,0.9548,0.998,0.2335,0.9923,0.9823,0.9789,0.7475,0.9975,0.9661,0.3535
8,Hearts2Hearts,RUDE!,Taiwan,0WA27lZzPKFJKAbiDRmQDc,sensual,0.6911,False,0.0665,0.4169,0.256,0.0127,0.0113,0.0171,0.1427,0.4207,0.6911,0.4446
9,IVE,BANG BANG,Taiwan,7pBE8YpFoZ9ankC2Ci5z9X,anger,0.9704,False,0.449,0.7769,0.1298,0.1221,0.0938,0.0775,0.2921,0.2981,0.9029,0.9704
10,BLACKPINK,Champion,Taiwan,43BJVWcBzHRIDaQCg7abnX,hope,0.3664,False,0.1531,0.064,0.0482,0.0035,0.0019,0.0021,0.3664,0.008,0.1754,0.0257
11,Khalil Fong,特別的人,Taiwan,0VTzUEuHYD8s7CgQ15cDPo,love,0.9886,False,0.9886,0.9777,0.9638,0.3345,0.343,0.0074,0.9672,0.3077,0.9105,0.356
12,BLACKPINK,JUMP,Taiwan,5H1sKFMzDeMtXwND3V6hRY,longing,0.992,False,0.753,0.992,0.4813,0.6676,0.1727,0.0152,0.5646,0.0278,0.9873,0.071
13,V,Slow Dancing,Taiwan,5h1BN75CEh8wdSwE1xrbSe,heartbreak,0.9797,False,0.087,0.8997,0.0003,0.9797,0.9489,0.7709,0.0163,0.8571,0.3078,0.9127
15,"Top Barry, INDEcompany",一半一半,Taiwan,21x0N6lu6D9kO8rVtTU3mH,heartbreak,0.923,False,0.2056,0.5417,0.0002,0.923,0.6415,0.3596,0.0007,0.7911,0.015,0.0298
16,V,Love Me Again,Taiwan,2N0SPREDYqILVEFSsWF5N5,longing,0.9841,False,0.6387,0.9841,0.0002,0.9535,0.906,0.7916,0.0326,0.979,0.0436,0.1271
17,HWASA,Good Goodbye,Taiwan,3cLXrotzCjYCkN73PewALM,grief,0.9452,False,0.147,0.6857,0.0646,0.9175,0.9452,0.3822,0.0229,0.877,0.7435,0.3222
18,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,Taiwan,1CPZ5BxNNd0n0nF4Orb9JS,lonely,0.9883,False,0.2997,0.9653,0.4684,0.3909,0.1807,0.2134,0.9153,0.9883,0.7861,0.1011
20,BLACKPINK,Fxxxboy,Taiwan,7m0duH1vdTNxM2g8BLfR0F,heartbreak,0.9905,False,0.5668,0.8833,0.0008,0.9905,0.9438,0.8952,0.0029,0.9718,0.8946,0.9634
21,IVE,BLACKHOLE,Taiwan,2ytQFMxdreEFPPZTtyDdqM,hope,0.9502,False,0.9386,0.8587,0.6445,0.0061,0.0032,0.0006,0.9502,0.0251,0.8455,0.0488
22,黃奇斌,若無你我欲去佗位,Taiwan,76EfpqmO6JUL2TTR1SIGwz,love,0.8744,False,0.8744,0.8547,0.599,0.494,0.5212,0.3015,0.6784,0.6845,0.8722,0.8281
23,"Patrick Brasca, mac ova seas",左轉燈 (1000 Times+1),Taiwan,4UwZyC0wEV6XDEAr9kaQhi,longing,0.9983,False,0.9535,0.9983,0.6868,0.9922,0.9957,0.705,0.6199,0.9931,0.9034,0.6091
24,Jay Chou,擱淺,Taiwan,0cOMncRq4cmDLO4tPQnkBF,despair,0.96,False,0.1191,0.9381,0.0091,0.7692,0.8889,0.96,0.1011,0.6973,0.595,0.8698
25,BLACKPINK,Me and my,Taiwan,5MXcM263QvCTWriH3nVusc,sensual,0.9795,False,0.4354,0.5217,0.4677,0.0072,0.0088,0.0018,0.1639,0.0552,0.9795,0.1603
26,KiiiKiii,404 (New Era),Taiwan,24rDDbSlFY9OHrlJb48CRh,sensual,0.9759,False,0.191,0.8629,0.587,0.1121,0.0416,0.0211,0.5209,0.7821,0.9759,0.1461
27,Bestards,離開的一路上,Taiwan,1NoDTQhJsrd5rnpb6PQthK,lonely,0.9887,False,0.3968,0.5957,0.1066,0.1852,0.1303,0.1304,0.2597,0.9887,0.7567,0.3906
28,Crowd Lu,一夜一夜一夜,Taiwan,3wofqqt5YJWdhLI9IFaX39,longing,0.9644,False,0.8321,0.9644,0.3217,0.8477,0.8314,0.9055,0.4259,0.9323,0.8767,0.7286
29,JENNIE,like JENNIE,Taiwan,0fK7ie6XwGxQTIkpFoWkd1,longing,0.9969,False,0.3501,0.9969,0.5525,0.3011,0.5406,0.3384,0.3554,0.4389,0.9627,0.9037
31,"i-dle, skaiwater",Mono (feat. skaiwater),Taiwan,3VxmXJ4FdtbWI27p3Gx4Wh,sensual,0.4995,False,0.4988,0.425,0.31,0.0297,0.0179,0.0907,0.1336,0.1053,0.4995,0.017
32,EggPlantEgg,閣愛妳一擺,Taiwan,4Zwn8WxD61diTwqv9hyTQA,sensual,0.9101,False,0.7833,0.8482,0.4646,0.4547,0.5994,0.2851,0.4631,0.6867,0.9101,0.5315
33,Stefanie Sun,遇見,Taiwan,3xJK8ywApYVEYIDhymYMC6,longing,0.9787,False,0.6857,0.9787,0.3358,0.0044,0.0089,0.0013,0.9739,0.1206,0.8204,0.0952
34,CORTIS,GO!,Taiwan,6OWWZtNQORY1McaZmOrwhc,sensual,0.8263,False,0.1206,0.4252,0.2629,0.0357,0.0096,0.0154,0.531,0.0434,0.8263,0.4459
35,Stefanie Sun,我懷念的,Taiwan,7z2M7DsEjZjwXBkWG3zd21,longing,0.9888,False,0.9843,0.9888,0.9868,0.9682,0.9866,0.9843,0.9888,0.9652,0.9878,0.9852
36,ROSÉ,toxic till the end,Taiwan,1z5ebC9238uGoBgzYyvGpQ,heartbreak,0.9739,False,0.008,0.8989,0.0011,0.9739,0.9522,0.9139,0.0009,0.8339,0.223,0.9633
37,BABYMONSTER,PSYCHO,Taiwan,491ca80N1C63tpoLvAsLKb,anger,0.8275,False,0.0108,0.5652,0.0575,0.0771,0.0841,0.4753,0.0907,0.5727,0.787,0.8275
38,Khalil Fong,愛愛愛,Taiwan,59lBAMCis4C6NsPdUV35Vz,longing,0.9542,False,0.5016,0.9542,0.9118,0.3966,0.5725,0.8853,0.4509,0.8641,0.9286,0.5483
39,"LE SSERAFIM, j-hope",SPAGHETTI,Taiwan,2N9miXnewVmUrgl6JSK1FI,longing,0.7868,False,0.5949,0.7868,0.4587,0.1981,0.0274,0.0541,0.0649,0.2383,0.6383,0.1436
41,Bestards,不是因為天氣晴朗才愛你,Taiwan,2VEt42QSQxILgEf9B50xxm,anger,0.8876,False,0.2201,0.5854,0.117,0.4247,0.464,0.6331,0.027,0.7376,0.5908,0.8876
42,aespa,Whiplash,Taiwan,7Cnpb1vBbC46RgVyyKLH7p,sensual,0.9405,False,0.0497,0.5436,0.027,0.118,0.074,0.1177,0.1025,0.8097,0.9405,0.4317
43,Amazing Show,愛情的大壞蛋,Taiwan,5HVq8nS0pbM6G7YK8M7DY4,lonely,0.8037,False,0.3876,0.7851,0.0954,0.7559,0.7597,0.7007,0.1343,0.8037,0.6926,0.7934
44,Jay Chou,晴天,Taiwan,5pIcwtJYNJx93l420oR2Vm,longing,0.9847,False,0.9763,0.9847,0.0109,0.9584,0.9131,0.3977,0.1706,0.9719,0.7948,0.0214
47,BABYMONSTER,WE GO UP,Taiwan,1tonXoW6dcb7GGNpec3PTl,anger,0.8445,False,0.4014,0.6013,0.1575,0.1239,0.1942,0.2862,0.1417,0.2641,0.5478,0.8445
48,"Jay Chou, Lara Liang",珊瑚海,Taiwan,3Qj9Fy8BPbWmICTiNkuqB7,sensual,0.796,False,0.4176,0.5761,0.186,0.2894,0.4364,0.1896,0.2206,0.6457,0.796,0.5314
50,ILLIT,NOT CUTE ANYMORE,Taiwan,1k0JAiH11gHL9dc5dfQjQr,lonely,0.6537,False,0.0043,0.1379,0.003,0.2973,0.0261,0.579,0.0023,0.6537,0.306,0.0017
51,张远,看着我的眼睛说,Taiwan,7d6eShN6yVeR4Y2Md9uCA4,sensual,0.7662,False,0.5377,0.747,0.2112,0.4568,0.4633,0.3549,0.4069,0.5689,0.7662,0.5422
52,Stefanie Sun,開始懂了,Taiwan,68tZwwRuo9ip5gRQFG1XWF,longing,0.8449,False,0.7205,0.8449,0.186,0.5693,0.5538,0.4384,0.2861,0.6417,0.7645,0.5894
54,LBI利比,Jumping Machine (跳楼机),Taiwan,1XZE0InCx3SdCnLpVsPpZl,lonely,0.9983,False,0.0765,0.9692,0.0005,0.9922,0.9682,0.9202,0.0172,0.9983,0.1499,0.5477
55,Bruno Mars,Risk It All,Taiwan,5y2ijHECwFYWqcAHKTZgzD,longing,0.9825,False,0.9784,0.9825,0.0863,0.0422,0.0149,0.0011,0.6027,0.0443,0.6641,0.0049
57,EggPlantEgg,浪流連,Taiwan,1IS0WFyiVpwsATeSzjEvpI,anger,0.9219,False,0.303,0.6078,0.1394,0.4138,0.459,0.6669,0.2518,0.5315,0.7095,0.9219
59,Djo,End of Beginning,Taiwan,3qhlB30KknSejmIvZZLjOD,heartbreak,0.9534,False,0.0003,0.0948,0.0001,0.9534,0.9112,0.0862,0.0001,0.3736,0.0035,0.0002
60,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Taiwan,1DwscornXpj8fmOmYVlqZt,longing,0.9689,False,0.4887,0.9689,0.0235,0.7436,0.4844,0.5873,0.595,0.9452,0.8013,0.6159
62,"Firdhaus, DIOR 大穎",在加納共和國離婚,Taiwan,6GyUt7yJ0sOktc5HjvVnFh,longing,0.9123,False,0.8674,0.9123,0.6319,0.7036,0.7142,0.7248,0.8458,0.8818,0.8954,0.8797
64,Jay Chou,楓,Taiwan,1pALOIA4ytESmhl7Fxjdic,sensual,0.8002,False,0.613,0.4466,0.1682,0.3465,0.4572,0.1706,0.2105,0.5654,0.8002,0.4713
67,Taylor Swift,The Fate of Ophelia,Taiwan,53iuhJlwXhSER5J2IYYv1W,heartbreak,0.9609,False,0.703,0.9017,0.2118,0.9609,0.8911,0.5636,0.6806,0.9553,0.7835,0.4429
68,LNGSHOT,Moonwalkin',Taiwan,46V2ciN6F5bxjQWityNhkY,longing,0.8961,False,0.3131,0.8961,0.3092,0.0327,0.0872,0.1555,0.4262,0.5965,0.855,0.1152
69,"ROSÉ, Bruno Mars",APT.,Taiwan,4wJ5Qq0jBN4ajy7ouZIV1c,longing,0.9953,False,0.9734,0.9953,0.4859,0.0678,0.0291,0.016,0.7183,0.7122,0.9906,0.1386
70,G.E.M.,多遠都要在一起,Taiwan,55d0jw269HE9pbOt5ntCo8,longing,0.9252,False,0.6877,0.9252,0.3539,0.7495,0.7686,0.5487,0.5088,0.8173,0.8822,0.6271
71,Joker Xue,演员,Taiwan,5Sib99jpYybZAicUMETb3h,love,0.9106,False,0.9106,0.4934,0.2846,0.2101,0.1025,0.0445,0.2494,0.1061,0.4606,0.0223
