artist,title,spotify_uri,lyrics,original_lang
JENNIE,like JENNIE,0fK7ie6XwGxQTIkpFoWkd1,"Ha, c'mon, it's gon' be fucking hard

Special edition and your AI couldn't copy
I'm leaving clues in the fittin' room and it's hot tea
No, I'm not thinking 'bout no exes, know they miss me
I got the whole room spinning like it's tipsy
Don't bore us, take you to the chorus

Who wanna rock with JENNIE?
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed like JENNIE?
Like, like, like (JENNIE, JENNIE, JENNIE, JENNIE)
I think I really like (JENNIE, JENNIE, JENNIE)
Haters, they don't really like (JENNIE, JENNIE, JENNIE, JENNIE)
'Cause they could never ever be (JENNIE, JENNIE, JENNIE)
But have you ever met JENNIE, JENNIE, JENNIE, JENNIE?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE, JENNIE

But have you ever met?
But have you ever met?
But have you ever met?

얼말 줘도 못해 서커스짓
포징한번에 만들어 mosh pit
They can't deal with me 'cause I'm priceless
여러 셀럽들 속에 내 DNA
Get, get outta my way
바비가 처키가 되기 전에
Name, shame, blame tryna burst my bubble
터트려봐 그럼 더 큰 홀에서
만나는 거야 제니를 keep shading
예술작품엔 필요해 frame이
I've slayed it, and I graved it
Yes, I'm guilty 잘난 게 죄니 (Mmh)

Who wanna rock with JENNIE?
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed like JENNIE?
Like, like, like
I think I really like JENNIE
Haters, they don't really like JENNIE
'Cause they could never ever be JENNIE
But have you ever met JENNIE, JENNIE, JENNIE, JENNIE?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE
JENNIE, JENNIE, JENNIE
Like JENNIE, JENNIE, JENNIE, JENNIE, JENNIE
Rock with JENNIE
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed, like

But have you ever met JENNIE?
But have you ever met?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE",en
BLACKPINK,Fxxxboy,7m0duH1vdTNxM2g8BLfR0F,"Everybody needs love
Do you, do you really wanna go down that road tonight?
Do you, do you? We already tried it once or twice (Twice, twice, twice)
Just to end up hitting the wall, mm (Oh-oh-oh-oh)

If my signals mixed and messy
Bet you think it's destiny
Call my ex, send late night texts
'Cause I get off on jealousy
Keep your expectations
Underneath the pavement
Guess karma's a bitch
How's it feel? Now I'm the fuckboy

It's the way that it goes
Call me icy, icy, yeah, you made me ice cold, uh
I saw it all, front row
Should've won a prize for thе stories you told
Oh, oh, oh, oh
Played the gamе, but I kept the score
How's it feel? Now I'm the fuckboy

Uh, phone is unavail', unavail'
If you wanna hit me, try my other cell 'cause I ain't pickin' up
Had enough, beep, beep, da-da-da
If you play with my emotions, you already know what's up
I'm so tired of the fake love
Can't no tears ruin my makeup (Say)
Say, how do you sleep knowing
That my love was like heaven 'til you gave me hell? (Oh)

If my signals mixed and messy
Bet you think it's destiny
Call my ex, send late night texts
'Cause I get off on jealousy
Keep your expectations ('Tae, 'tae)
Underneath the pavement
Guess karma's a bitch (
Bitch
)
How's it feel? Now I'm the fuckboy

It's the way that it goes
Call me icy, icy, yeah, you made me ice cold, uh
I saw it all, front row
Should've won a prize for the stories you told
Oh, oh, oh, oh
Played your game, but I kept the score
How's it feel? Now I'm the fuckboy

Ooh, oh
If I told you it's not that serious
Heartbreak builds experience
It's evident that
You burned the bridge, I'm on fire
You set the tone, now I'm louder
I don't like you, I'm just bored
How's it feel? Now I'm the fuckboy

It's the way that it goes
Call me icy, icy, yeah, you made me ice cold, uh (Call me icy)
I saw it all, front row
Should've won a prize for the stories you told
Oh, oh, oh, oh
Played your game, but I kept the score (I did, I did, I did, I did)
How's it feel? Now I'm the fuckboy",en
BLACKPINK,Me and my,5MXcM263QvCTWriH3nVusc,"We outside every night, just me and my girls, ayy
Way too fine every time, just me and my girls, ayy
Hide your man, we ain't playin', just me and my girls, ayy
Droppin' it, poppin' it, just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls

Just me and my girls, that's a little sitch
Pretty privilege, pop off, she could fizz if she want to
You know that's my girl when I call her bitch
That's a compliment, take over this shit like she was born to
La-la-la-la-la, buyin' out the bar, we some superstars
Everywhere we are, we keep it rеal cute
Mirror on the wall, this ain't from the mall
Courtsidе on the call, we can touch the ball, that's how we move

If we ain't in the spot, ain't a party (Pop)
We gon' make it pop like a lolly
Pull up with a lot, servin' body (Brrt)
Put your hands up if you with me

We outside every night, just me and my girls, ayy
Way too fine every time, just me and my girls, ayy
Hide your man, we ain't playin', just me and my girls, ayy
Droppin' it, poppin' it, just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls

Just me and my day ones, pretty girls walkin' (Walkin')
Golden like we Draymond, they pay us for a walk-in (Walk-in)
Step (Step), step (Step), step into some commas
Yeah (Yeah), yeah (Yeah), boys all wanna holla
I'm one-of-one, not two, in my hottie season (Season)
Givin' 'tude to ya, I don't need no reason (Reason)
Daisy dukes make me speak my mind, I'm beamin' (Beamin')
Kinda cute, glistenin', it's in her being (Hahaha)

If we ain't in the spot, ain't a party (Pop)
We gon' make it pop like a lolly
Pull up with a lot, servin' body (Brrt)
Put your hands up if you with me

We outside every night, just me and my girls, ayy
Way too fine every time, just me and my girls, ayy
Hide your man, we ain't playin', just me and my girls, ayy
Droppin' it, poppin' it, just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls",en
Madison Beer,bittersweet,6vDVu9IM9s8L8XMQ1c1Yti,"Can't believe it ends this way
Thought you'd always stay
Now I gotta wonder what I've changed
Think I have to go
Walking all alone
Hate to see it all go down the drain

Wanted to be with you
Wanted to make it through
But did you?
I swear I knew

Now that it's over, you'll blame it all on me
I know I should be bitter, but baby
Right now I'm bittersweet
I'm getting over what you put me through
And I'd say I'm done crying, but baby
I don't lie like you do

You do, you do
Right now I'm bittersweet
Ooh, mm
Right now I'm bittersweet

One day, I'll wake up sad
But go to bed so glad
Knowing you know what you could've had
Now I'm choosing me
It wasn't so easy
God forbid forever on my knees

Know you won't make it right
Can't look me in the еyes
Good for you
I always think I knew

Now that it's over, you'll blamе it all on me
I know I should be bitter, but baby
Right now I'm bittersweet
I'm getting over what you put me through
And I'd say I'm done crying, but baby
I don't lie like you do

You do, you do
Right now I'm bittersweet
Ooh, mm
Right now I'm bittersweet

I lay awake thinkin', ""How did I let you go?""
Gettin' away unscathed for so damn long
I got away, took my time, I'm okay alone
And you'll stay knowing
You forever know how hard I tried with you, oh

Now that it's over, you'll blame it all on me
I know I should be bitter, but baby
Right now I'm bittersweet
I'm getting over what you put me through
And I'd say I'm done crying, but baby
I don't lie like you do

You do, you do
Right now I'm bittersweet
Ooh, mm (Ooh)
Right now I'm bittersweet",en
Zara Larsson,Lush Life,1rIKgCH4H52lrvDcz50hS8,"I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

It was a crush
But I couldn't, couldn't get enough
It was a rush
But I gave it up
It was a crush
Now, I might've went and said too much
But that's all it was
So I gave it up

I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

It was a crush
I kept sayin', ""I'ma stay in touch""
But that thing went bust
So I gave it up, ooh
No tricks, no bluff
I'm just better off without them cuffs
Yeah, the sun won't set on us
Ooh-ooh-ooh, yeah-yeah

Went low, went high
Still waters run dry
Gotta get back in the groove
I ain't ever worried
Went low, went high
What matters is now
Gettin' right back in the mood

I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

Now I've found another crush
The lush life givin' me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life givin' me a rush
Had one chance to make me blush
Second time is one too late

Ooh, ooh-woah
Ooh, ooh-woah

I live my day as if it was the last
Live my day as if there was no past
Doin' it all night, all summer
Doin' it the way I wanna
Yeah, I'ma dance my heart out 'til the dawn
But I won't be done when morning comes
Doin' it all night, all summer
Gonna spend it like no other

Now I've found another crush
The lush life givin' me a rush
Had one chance to make me blush
Second time is one too late
Now I've found another crush
The lush life's givin' me a rush
Had one chance to make me blush
Second time is one too late",en
Billie Eilish,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,"(But I wanna stay)

I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby

Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better

And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I

I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die

I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid

And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
Don't wanna say goodbye

Birds of a feather, we should stick together, I know ('Til the day that I die)
I said I'd never think I wasn't better alone ('Til the light leaves my eyes)
Can't change the weather, might not be forever ('Til the day that I die)
But if it's forever, it's even better

I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised",en
Ravyn Lenae,Love Me Not,4WFgvKVfEhb3IUAFGrutTR,"See, right now, I need you, I'll meet you somewhere now
You up now, I see you, I get you, take care now
Slow down, be cool, I miss you, come here now
It's yours now, keep it, I'll hold out until now
I need you right now, once I leave you I'm strung out
If I get you, I'm slowly breaking down

And, oh, it's hard to see you, but I wish you were right here
Oh, it's hard to leave you when I get you everywhere
All this time I'm thinking we could never be a pair
Oh, no, I don't need you, but I miss you, come here
And, oh, it's hard to see you, but I wish you were right here
Oh, it's hard to leave you when I get you everywhere
All this time I'm thinking, I'm strong enough to sink it
Oh, no, I don't need you, but I miss you, come here

He love me not, he loves me
He holds me tight, then lets me go
He love me not, he loves me
He holds me tight, then lets me go

Soon as you leave me, we always lose connection
It's gettin' messy, I fiend for your affection
Don't loosen your grip got a hold on me
Now, forever, let's get back together

Lord, take it so far away
I pray that, God, we don't break
I want you to take me up and down
And round and round again

And, oh, it's hard to see you, but I wish you were right here
Oh, it's hard to leave you when I get you everywhere
All this time I'm thinking we could never be a pair
Oh, no, I don't need you, but I miss you, come here
And, oh, it's hard to see you, but I wish you were right here
Oh, it's hard to leave you when I get you everywhere
All this time I'm thinking, I'm strong enough to sink it
Oh, no, I don't need you, but I miss you, come here

He love me not, he loves me
He holds me tight, then lets me go
He love me not, he loves me
He holds me tight, then lets me go
He love me not, he loves me
He holds me tight, then lets me go
He love me not, he loves me
He holds me tight, then lets me go

You're gonna say that you're sorry at the end of the night
Wake up in the morning, everything's alright
At the end of the story, you're holdin' me tight
I don't need to worry, am I out of my mind?

And, oh, it's hard to see you, but I wish you were right here (I'm losing my mind)
Oh, it's hard to leave you when I get you everywhere
All this time I'm thinking, I'm strong enough to sink it
Oh, no, I don't need you, but I miss you, come here",en
"Tame Impala, JENNIE",Dracula - JENNIE Remix,5yvVYFDUpbnjcnRBgjwTzM,"Oh (You and me)
Oh (Hahaha)
(Check it out now)
(Hahaha, mm)
(Dracula)
(
Ba-da-bing, ba-da-boom
)
(Dracula)

The morning light is turning blue, the feeling is bizarre (Bizarre)
The night is almost over, I still don't know where you are
The shadows, yeah, they keep me pretty like a movie star
Daylight makes me feel like Dracula (Dracula)

In the end, I hope it's you and me (You and me)
In the darkness, I would never leave (
Never leave
)
You won't ever see me in the light of day
It's far too late, the time has come

I'm on the verge of caving in, I run back to the dark (
Dark
)
Now I'm Mr. Charisma, fuckin' Pablo Escobar
My friends are saying, ""Shut up, Jennie, just get in the car"" (Hahaha; Jennie)
I just wanna be right where you are (Oh, my love)

In the end, I hope it's you and me (You and me)
In the darkness, I would never leave (Never leave; I won't leave her)
We both saw this moment comin' from afar (Comin' from afar)
Now here we are (Here we are)

Run from the sunlight, Dracula
Run from the sunlight, Dracula
Run from the sunlight, Dracula (Run from the sun)
Isn't the view spectacular? (Dracula; 
Dracula
)

Hey, Kevin, what's up? (Haha)
Come pull up in my spot
Let's keep the night glowing
I don't ever wanna stop (Hahaha)
I'll never leave this floor, got me needin' more (
Oh
)
Sky is turning blue, let it clear the smoke
Lip-stain on the rim, bass is 'bout to blow (
Oh
)
Sinking in my teeth, I buy time

But please, do you think about what it might mean? (
Mean
)
'Cause I dream about you in my sleep
Would you ever love someone like me (
Someone like me
)
Like me? (Oh)

In the end, I hope it's you and me (Oh, my love)
In the darkness, I would never leave
We both saw this moment comin' from afar (Comin' from afar)
Now here we are (Here we are)

So run from the sunlight, Dracula
So run from the sunlight, Dracula
Run from the sunlight, Dracula
Isn't the view spectacular?
So run from the sunlight, Dracula
Run from the sunlight, Dracula
Isn't the view spectacular? (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
Isn't the view spectacular?",en
sombr,Homewrecker,7tICCrK3CcyRFKza7yrR0z,"Ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh

You hit like a drunk cigarette
The feelin' amplified
By sayin' things we never meant, oh, yeah
You leave me filled with regret
At the end of the night
I always find myself wonderin' why, oh, yeah

Do you got plans for life?
'Cause I don't wanna just romance tonight
I wanna see you in another light, oh, yeah
With rhythm, there is rhyme
With you, there always can be I
I wanna see you in another light, ooh

I don't wanna talk down on your lover
I don't wanna be a homewrecker
I just know I can be better, bе better, be bеtter
I don't wanna talk down on your lover
I don't wanna be a broken record
I just know I can be better, be better, be better

We sit on the fire escape
We talk and talk 'til dawn
I open up to you about my wrongs, oh, yeah
Then we lay and contemplate
Just one more round of love
Before you go home to another one

Do you got plans for life?
'Cause I don't wanna just romance tonight
I wanna see you in another light, oh, yeah
With rhythm, there is rhyme
With you, there always can be I
I wanna see you in another light, ooh

I don't wanna talk down on your lover
I don't wanna be a homewrecker
I just know I can be better, be better, be better
I don't wanna talk down on your lover
I don't wanna be a broken record
I just know I can be better, be better, be better

I don't wanna be how you formulate opinions on astrology, oh no
Or to say we made peace
And then your friends don't even wanna talk to me, no more, no more
I wanna kiss you on the bed and on the floor
When I'm poor, when I'm bored
I am yours, I am yours, I am yours

I don't wanna talk down on your lover
I don't wanna be a homewrecker
I just know I can be better, be better, be better
I don't wanna talk down on your lover
I don't wanna be a broken record
I just know I can be better, be better, be better

Ooh-ooh-ooh, ooh-ooh-ooh (Oh-oh)
Ooh-ooh-ooh, ooh-ooh-ooh (Oh-oh)
Ooh-ooh-ooh, ooh-ooh-ooh (Oh-oh)
Ooh-ooh-ooh, ooh-ooh-ooh",en
The Script,The Man Who Can't Be Moved,3nqqDo8CcCLke3ZoTgiOKf,"Going back to the corner where I first saw you
Gonna camp in my sleeping bag, I'm not gonna move
Got some words on cardboard, got your picture in my hand
Saying, ""If you see this girl, can you tell her where I am?""
Some try to hand me money, they don't understand
I'm not broke, I'm just a broken-hearted man
I know it makes no sense, what else can I do?
And how can I move on when I'm still in love with you?

'Cause if one day you wake up, and find that you're missing me
And your heart starts to wonder where on this Earth I could be
Thinking maybe you'll come back here to the place that we'd meet
And you'll see me waiting for you, on the corner of the street
So I'm not moving
I'm not moving

Policeman says, ""Son, you can't stay here""
I say, ""There's someone I'm waiting for
If it's a day, a month, a year""
Gotta stand my ground, even if it rains or snows
If she changes her mind, this is the first place she will go

'Cause if one day you wake up, and find that you're missing me
And your heart starts to wonder where on this Earth I could be
Thinking maybe you'll come back here to the place that we'd meet
And you'll see me waiting for you, on the corner of the street
So I'm not moving
I'm not moving
I'm not moving
I'm not moving

People talk about the guy who's waiting on a girl, oh
There are no holes in his shoes, but a big hole in his world, mmm
Maybe I'll get famous as the man who can't be moved
And maybe you won't mean to, but you'll see me on the news
And you'll come running to the corner 'cause you know it's just for you
I'm the man who can't be moved
I'm the man who can't be moved

'Cause if one day you wake up, and find that you're missing me (Find you're missing me)
And your heart starts to wonder where on this Earth I could be (Oh, where on Earth I could be)
Thinking maybe you'll come back here to the place that we'd meet (To the place that we'd meet, oh, oh)
And you'll see me waiting for you, on the corner of the street (On the corner of the street)
So I'm not moving

'Cause if one day you wake up, and find that you're missing me (I'm not moving)
And your heart starts to wonder where on this Earth I could be (I'm not moving)
Thinking maybe you'll come back here to the place that we'd meet (I'm not moving)
And you'll see me waiting for you, on the corner of the street

Going back to the corner
Where I first saw you
Gonna camp in my sleeping bag
I'm not gonna move",en
Alex Warren,Ordinary,2RkZ5LkEzeHGRsmDqKwmaJ,"They say, ""The holy water's watered down
And this town's lost its faith
Our colors will fade eventually""
So, if our time is runnin' out
Day after day
We'll make the mundane our masterpiece

Oh, my, my
Oh, my, my love
I take one look at you

You're takin' me out of the ordinary
I want you layin' me down 'til we're dead and buried
On the edge of your knife, stayin' drunk on your vine
The angels up in the clouds are jealous knowin' we found
Somethin' so out of the ordinary
You got me kissin' thе ground of your sanctuary
Shatter me with your touch, oh, Lord, return mе to dust
The angels up in the clouds are jealous knowin' we found

Hopeless hallelujah
On this side of Heaven's gate
Oh, my life, how do ya
Breathe and take my breath away?
At your altar, I will pray
You're the sculptor, I'm the clay

Oh, my, my

You're takin' me out of the ordinary
I want you layin' me down 'til we're dead and buried
On the edge of your knife, stayin' drunk on your vine
The angels up in the clouds are jealous knowin' we found
Somethin' so out (Out) of the ordinary (Ordinary)
You got me kissing the ground (Ground) of your sanctuary (Sanctuary)
Shatter me with your touch, oh, Lord, return me to dust
The angels up in the clouds are jealous knowin' we found

Somethin' so heavenly, higher than ecstasy
Whenever you're next to me, oh, my, my
World was in black and white until I saw your light
I thought you had to die to find

Somethin' so out of the ordinary
I want you laying me down 'til we're dead and buried
On the edge of your knife, stayin' drunk on your vine
The angels up in the clouds are jealous knowin' we found
Somethin' so out (Out) of the ordinary
You got me kissing the ground (Ground) of your sanctuary (Sanctuary)
Shatter me with your touch, oh, Lord, return me to dust
The angels up in the clouds are jealous knowin' we found",en
KATSEYE,Gabriela,1xOqGUkyxGQRdCvGpvWKmL,"Hot like a bullet
Flying too fast, I couldn't catch it
Heart in the casket
You always knew it
The starring role, the main attraction
Got cameras flashing

Like, ooh
You got everybody's eyes undressing you
And I see it too
Yeah, ooh
You could have anyone else you wanted to
I'm beggin' you

Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la
Back off of my fella, Gabriela
Back off, Gabriela-la-la
'Cause, ooh
You could have anyone else you wanted to
I'm beggin' you (Hey)
Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la, la-la-la-la

Skin amaretto
I bet you taste just like the summer
Under the covers (Hey)
Me in the middle
Overprotective of my lover
You make me wonder

Like, ooh
If you made all of these fantasies come true
What would you do?
Yeah, ooh
You could have anyone else you wanted to
But I'm beggin' you

Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la
Back off of my fella, Gabriela
Back off, Gabriela-la-la
'Cause, ooh
You could have anyone else you wanted to
I'm beggin' you (Hey)
Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la, la-la-la-la

La-la-la-la
La-la-la-la
La-la-la-la (Oh, no)

Él llegó conmigo y conmigo se va
Sus ojos son mío', eso no va a cambiar
Me quiere a mí y no importan las demás
No, no, no, no, no, no, no, no
Él llegó conmigo y conmigo se va
Sus ojos son mío', eso no va a cambiar
Me quiere a mí y no importan las demás
No, no, no, no, no, no, no, no

Hands off, Gabriela, Gabriela
Hands off, Gabriel-la-la-la (Gabriela)
Back off of my fella, Gabriela
Back off, Gabriel-la-la-la (Oh, Gabriel-la-la-la)
'Cause, ooh
You could have anyone else you wanted to
I'm beggin' you (I'm beggin' you; Hey)
Hands off, Gabriela (Gabriela, hands off), Gabriela
Hands off (Hands off), Gabriel-la-la-la, la-la-la-la (La-la-la-la)

La-la-la-la (La-la-la-la)
La-la-la-la (La-la-la-la)
La-la-la-la
(Back off, back off, back off)",en
HWASA,Good Goodbye,3cLXrotzCjYCkN73PewALM,"나를 그냥 짓밟고 가
괜찮아 돌아보지 마
내가 아파봤자 너만 하겠니
이젠 너를 헤아려봐
날 위해 쉬던 그 숨은 잊고
저 위에 널 위해 just kill my ego

등 돌려 걸어가
You got it, you got it, yeah

안녕은 우릴 아프게 하지만 우아할 거야 (Oh-oh-oh)
나 땅을 치고 후회하도록 넌 크게 웃어줘
Goodby-y-ye

By-ye-ye, ya-ya-ye
By-ye-ye, ya-ya-ye (By-y-ye)
By-ye-ye, ya-ya-ye
By-ye-ye-ye-ye
후회하도록 goodby-y-ye

널 생각한 운율이야
비로소 느껴지잖아
눈물은 고이고 찬란하게 빛나
우린 좋은 안녕 중이야

고맙단 말 대신 전할게
Goodbye, good goodbye, yeah

안녕은 우릴 아프게 하지만 우아할 거야 (Oh-oh-oh)
나 땅을 치고 후회하도록 넌 크게 웃어줘
Goodby-y-ye

By-ye-ye, ya-ya-ye
By-ye-ye, ya-ya-ye (By-y-ye)
By-ye-ye, ya-ya-ye
By-ye-ye-ye-ye

세상이 나를 빤히 내려다봐도
내 편이 돼 줄 사람 하나 없어도
Don't worry, it's okay
난 내 곁에 있을게
I'll be on my side instead of you

안녕은 나를 아프게 하지만 울어볼 거야 (Oh-oh-oh)
땅을 치고 후회해도 좋아 우리 이렇게
Goodby-y-ye

By-ye-ye, ya-ya-ye (By-y-ye)
By-ye-ye, ya-ya-ye (By-y-ye)
By-ye-ye, ya-ya-ye
By-ye-ye-ye-ye
후회조차도 goodby-y-ye",ko
She & Him,I Thought I Saw Your Face Today,0myRViRgmQ3J8izICXEAVO,"I thought I saw your face today
But I just turned my head away
Your face against the trees
But I just see the memories as they come, as they come

And I couldn't help but fall in love again
No, I couldn't help but fall in love again

I saw it glitter as I grew
And loved it, why, I never knew
I thought this place was heaven-sent
But now it's just a monument in my mind, in my mind

And I couldn't help but fall in love again
No, I couldn't help but fall in love again

The cars and freeways implore me to stay away, out of this place
My mother said, ""Just keep your head, and play it as it lays""


The cars and freeways implore me to stay away, out of this place
My mother said, ""Just keep your head, and play it as it lays""

I somehow see what's beautiful
In things that are ephemeral
I'm my only friend of mine
And love is just a piece of time
In the world, in the world

And I couldn't help but fall in love again
No, I couldn't help but fall in love again
No, I couldn't help but fall in love again
No, I couldn't help but fall in love again
No, I couldn't help but fall in love again",en
Dominic Fike,Babydoll,7yNf9YjeO5JXUE3JEBgnYc,"And I can't move on, babydoll
Waitin' on calls, flippin' through stations
I'm outclassed and it's outrageous (Ooh)
And I'll take it all, babydoll
Whatever's been weighin' you down (Eeh)

Find me on Miami concrete
Lookin' for somebody different 'cause my daddy was a pimp (Ooh, ooh, ooh)
My mama had her issues but I miss her anyway
Oh, babydoll (Ooh, ooh-ooh)
Please don't call me for the wrong reasons
We both know exactly what I'm thinkin'
Weeks pass and I never grow tired
'Cause I never said never and I barely ever lie
I'm on the road to an original place in outer space
I didn't make it up, but you can't find it on a phone or a globe
And I can take you with me if you really wanna go
Oh, babydoll, I can't move on

And I can't move on, babydoll
Waitin' on calls, flippin' through stations
I'm outclassed and it's outrageous (Ooh)
And I'll take it all, babydoll
Whatever's been weighin' you down",en
Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）,1zFuSla4RQ5qAJwDIQYixW,,unknown
The 1975,About You,3hEfpBHxgieRLz4t3kLNEg,"I know a place
It's somewhere I go when I need to remember your face
We get married in our heads
Something to do while we try to recall how we met

Do you think I have forgotten?
Do you think I have forgotten?
Do you think I have forgotten
About you?

You and I (
Don't let go
)
We're alive (
Don't let go
)
With nothing to do, I could lay and just look in your eyes
Wait (Don't let go)
And pretend (Don't let go, oh)
Hold on and hope that we'll find our way back in the end (In the end)

Do you think I havе forgotten?
Do you think I have forgotten?
Do you think I havе forgotten
About you?
Do you think I have forgotten?
Do you think I have forgotten?
Do you think I have forgotten
About you?

And there was something about you that now I can't remember
It's the same damn thing that made my heart surrender
And I'll miss you on a train, I'll miss you in the mornin'
I never know what to think about
I think about you (Don't let go)
About you (Don't let go)

Do you think I have forgotten
About you?
About you (Don't let go, oh)
About you
About you
Do you think I have forgotten
About you?
About you (Don't let go)",en
马师傅,善后,6gYS6CQc7UMnj0Ubq3C0QT,,unknown
Bruno Mars,Cha Cha Cha,6QletrrmpkUpeJkipX9pgf,"You got me drinkin', spendin' my money
Got my lemon pepper steppers on, ooh, girl, you in trouble tonight
Uh, I feel like dancin' (I feel like dancin')
Little mama, you turn me on (Little mama, you turn me on)
Move your body right here, just a little closer next to mine, uh

Come on and cha-cha-cha with me
And I'ma cha-cha-cha with you tonight
Uh, I like it like that, she workin' that back
I don't know how to act, ooh-ooh-ooh
Come on and cha-cha-cha with me
And I'ma cha-cha-cha with you tonight
Uh, I like it like that, she workin' that back
I don't know how to act, ooh-ooh-ooh-ooh

It's on and poppin', the club bouncin' (Ha-ha-ha-ha)
There's a party at The Pinky Ring, ooh, The Hooligans, we outside
Uh, the spotlight's on you now (The spotlight's on you)
Let mе see what you came to do (Let me see what you camе to do)
Girl, the dance floor is yours and you're lookin' ready to set it on fire, uh

Come on and cha-cha-cha with me
And I'ma cha-cha-cha with you tonight
Uh, I like it like that, she workin' that back
I don't know how to act, ooh-ooh-ooh
Come on and cha-cha-cha with me
And I'ma cha-cha-cha with you tonight
Uh, I like it like that, she workin' that back
I don't know how to act, ooh-ooh-ooh-ooh

If you're ready, I'm ready, baby
We can do this all night
Let's go to the moon a little later
Hope you ain't scared to fly

Uh-uh-uh-uh

Come on and cha-cha-cha with me
And I'ma cha-cha-cha with you tonight
Uh, uh, I like it like that, she workin' that back
I don't know how to act, ooh-ooh-ooh
Come on and cha-cha-cha with me, yeah
And I'ma cha-cha-cha with you tonight, yeah
Uh, uh, I like it like that, she workin' that back
I don't know how to act, ooh-ooh-ooh-ooh

Uh",en
