rank,artist,title,region,spotify_uri,lyrics_in_en,original_lang
78,Tame Impala,Dracula,USA,1NXbNEAcPvY5G1xvfN57aA,"Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
(Check it out now)

The morning light is turning blue, the feeling is bizarre (Bizarre)
The night is almost over, I still don't know where you are
The shadows, yeah, they keep me pretty like a movie star
Daylight makes me feel like Dracula (Dracula)

In the end, I hope it's you and me
In the darkness, I would never leave (Ah)
You won't ever see me in the light of day
It's far too late, the time has come

I'm on the verge of caving in, I run back to thе dark
Now I'm Mr. Charisma, fuckin' Pablo Escobar (Escobar)
My friends are saying, ""Shut up, Kevin, just gеt in the car"" (Kevin)
I just wanna be right where you are (Oh, my love)

In the end, I hope it's you and me
In the darkness, I would never leave (I won't leave her)
We both saw this moment comin' from afar
Now here we are

Run from the sunlight, Dracula (Hey)
Run from the sunlight, Dracula (Dracu-Dracula)
Run from the sunlight, Dracula (Run from the sun)
Isn't the view spectacular? (Sunlight, Dracula)

Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh (Check it out now)
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh

But please, do you think about what it might mean?
'Cause I dream about you in my sleep
Would you ever love someone like me, like me? (Oh)

In the end, I hope it's you and me (Oh)
In the darkness, I would never leave (I won't leave her)
We both saw this moment comin' from afar
Now here we are

So run from the sunlight, Dracula (Hey)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
(Dracu-Dracula)
Run from the sunlight, Dracula (Oh)
Isn't the view spectacular? (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
(Dracu-Dracula)
Run from the sunlight, Dracula (Run from the sunlight)
Isn't the view spectacular? (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
Isn't the view spectacular?",en
79,Benson Boone,Beautiful Things,USA,3xkHsmpQCBMytMJNiDf3Ii,"For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me, He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified as the man who stands to lose you

Oh, I hope I don't losе you
Mm, please stay
I want you, I need you, oh God
Don't take
Thеse beautiful things that I've got

Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

Oh, ooh
Please don't take

I found my mind, I'm feelin' sane
It's been a while, but I'm finding my faith
If everything's good and it's great, why do I sit and wait 'til it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all

Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

Oh, ooh

Please stay
I want you, I need you, oh God
I need
These beautiful things that I've got",en
80,Chappell Roan,Pink Pony Club,USA,6393yGahSJ9slVdOwSxOVR,"I know you wanted me to stay
But I can't ignore the crazy visions of me in L.A. 
And I heard that there's a special place
Where boys and girls can all be queens every single day

I'm having wicked dreams of leaving Tennessee
Hear Santa Monica, I swear it's calling me
Won't make my mama proud, it's gonna cause a scene
She sees her baby girl, I know she's gonna scream

""God, what have you done?
You're a pink pony girl, and you dance at the club,"" oh mama
I'm just having fun
On the stage in my heels, it's where I belong, down at the

Pink Pony Club, I'm gonna keep on dancing at the
Pink Pony Club, I'm gonna keep on dancing down in
West Hollywood, I'm gonna keep on dancing at the
Pink Pony Club, Pink Pony Club

I'm up and jaws are on the floor
Lovers in the bathroom and a line outside the door
Black lights and a mirrored disco ball
Every night's another reason why I left it all

I thank my wicked dreams, a year from Tennessee
Oh, Santa Monica, you've been too good to me
Won't make my mama proud, it's gonna cause a scene
She sees her baby girl, I know she's gonna scream

""God, what have you done?
You're a pink pony girl, and you dance at the club,"" oh mama
I'm just having fun
On the stage in my heels, it's where I belong, down at the

Pink Pony Club, I'm gonna keep on dancing at the
Pink Pony Club, I'm gonna keep on dancing down in
West Hollywood, I'm gonna keep on dancing at the
Pink Pony Club, Pink Pony Club


Don't think I've left you all behind
Still love you and Tennessee, you're always on my mind
And mama, every Saturday
I can hear your Southern drawl a thousand miles away, saying

""God, what have you done?
You're a pink pony girl, and you dance at the club,"" oh mama
I'm just having fun
On the stage in my heels, it's where I belong, down at the

Pink Pony Club, I'm gonna keep on dancing at the
Pink Pony Club, I'm gonna keep on dancing down in
West Hollywood, I'm gonna keep on dancing at the
Pink Pony Club, Pink Pony Club


I'm gonna keep on dancing
I'm gonna keep on dancing",en
81,Frank Ocean,Nights,USA,7eqoqGkKwgOaWNNHx90uEZ,"'Round your city, 'round the clock
Everybody needs you
No, you can't make everybody equal
Although you got beaucoup family
You don't even got nobody bein' honest with you
Breathe 'til I evaporated
My whole body see-through
Transportation, handmade (G)
And I know it better than most people
I don't trust 'em anyways
You can't break the law with them
Get some gushy, have a calm night
Shooters killin' left and right
Workin' through your worst night
If I get my money right
You know I won't need you
And I tell you (Bitch)
I hope the sack is full up
I'm fuckin', no, I'm fucked up
Spend it when I get that
I ain't tryna keep you
Can't keep up a conversation
Can't nobody reach you
Why your eyes well up? (Breathe)
Did you call me from a séance?
You are from my past life
Hope you're doin' well, bruh (Breathe)
I been out here head first
Always like the head first
Signal comin' in and out
Hope you're doin' well, bruh
Everybody needs you
Everybody needs you
Ooh, 'nani-'nani
This feel like a Quaalude
No sleep in my body
Ain't no bitch in my body (Ah)

New beginnings, ahh
New beginnings, wake up, akh
The sun's goin' down
Time to start your day, bruh
Can't keep bein' laid off
Know you need the money if you gon' survive
Every night shit, every day shit

Droppin' baby off at home before my night shift
You know I can't hear none of that ""spend the night"" shit
That kumbaya shit
Wanna see nirvana, but don't wanna die yet
Wanna feel that 'na-'na, though, could you come by?
Fuck wit' me after my shift
Know them boys wanna see me broke down and shit
Bummed out and shit, stressed out and shit
That's every day shit
Shut the fuck up, I don't want your conversation
Rollin' marijuana, that's a cheap vacation
My every day shit, every night shit
Every day shit (Every night shit, night shit, night shit, night shit)

All my night, been ready for you all my night
Been waitin' on you all my night
I'll buzz you in, just let me know when you're outside
All my night, you been missin' all my night
Still got some good nights memorized
And the look back's gettin' me right


Every night fucks every day up
Every day patches the night up (Night, come on)
On God, you should match it, it's that KO (That KO, God)
No white lighters 'til I fuck my twenty-eighth up (Fire)
1998, my family had that Acura (Fire)
Oh, the Legend (Fire)
Kept at least six discs in the changer (Yeah-yeah)
Back when Boswell and Percy had it active (Massive)
Couple bishops in the city buildin' mansions (Massive)
All the reverends (Massive, massive, ooh)
Preachin' self-made millionaire status (Yeah, yeah)
When we could only eat at Shoney's on occasion (Yeah, yeah)
After 'Trina hit, I had to transfer campus (Yeah, yeah)
Your apartment out in Houston's where I waited (Yeah, yeah, ooh)
Stayin' with you when I didn't have a address (Ooh)
Fuckin' on you when I didn't own a mattress (Fuckin')
Workin' on a way to make it outta Texas
Every night (Right now, right now, right now)

Droppin' baby off at home before my night shift, yeah
You know I can't hear none of that ""spend the night"" shit
That kumbaya shit
Wanna see nirvana, but don't wanna die yet
Wanna feel that 'na-'na, though, could you come by?
Fuck wit' me after my shift
Know them boys wanna see me broke down
Bummed out, stressed out
That's just every day shit
Shut the fuck up, I don't want your conversation
Rollin' marijuana, that's a cheap vacation (Day shit)
Every day shit, every night shit (Every night shit, every day shit)
Every day shit, every day shit (Every night shit, every night shit)
Every day shit, every day shit (Every night shit, every night shit)
Every night shit",en
82,Lit,My Own Worst Enemy,USA,33iv3wnGMrrDugd7GBso1z,"Can we forget about the things I said when I was drunk?
I didn't mean to call you that
I can't remember what was said or what you threw at me
Please tell me

Please tell me why
My car is in the front yard, and I'm
Sleepin' with my clothes on
I came in through the window last night
And you're long gone, gone

It's no surprise to me, I am my own worst enemy
'Cause every now and then, I kick the livin' shit out of me
The smoke alarm is goin' off, and there's a cigarette
Still burnin'

Please tell me why
My car is in the front yard, and I'm
Sleepin' with my clothes on
Came in through the window last night
And you're long gone, gone


Please tell me why
My car is in the front yard, and I'm
Sleepin' with my clothes on
I came in through the window last night

(Ah-ooh) It's no surprise to me, I am my own worst enemy
(Ah-ooh) 'Cause every now and then, I kick the livin' shit out of me
(Ah-ooh) Can we forget about the things I said when I was drunk?
(Ah-ooh) I didn't mean to call you that (Ooh)",en
83,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),USA,0FIDCNYYjNvPVimz5icugS,"The sun is shining, it's over
It happened tomorrow
Bathe yourself in light, in your love
XO
Ooh, yeah, ooh, yeah, no
[Verse 1: Playboi Carti & 
The Weeknd
]
Ever since I was little, I knew it was me (
Ooh, yeah
)
The girl always wants to come, wants to get fucked (
He wants to get fucked so hard
)
He thinks he's my first because I keep him next to me
Double O, cover the hour, he knows I'm timeless (
timeless
)
I'm passing some Rick to my son
I draw the gun from my hip
Pockets hold twenty-two clips (
oh
)
I'm breaking your heart, Comme Garçons
Wear something, don't get stepped on in the airship
She's a stain bitch, get ready to lick
Ever since I was little, I had to tell you that I knew it was me (Oh)
Singing my songs, trying to get carried away, trying to take a whiff
House like a bank, deposit this bitch, deposit that check
Smile on my face, I'm not acting, come and get checked (Ah)
Ice on my neck, double O wrists
Girl in Scat, what wheels
Fresh out of the trenches, four hundred packs
Ah, yes, I'm wandering around Paris (Ah)
Dress for the bitches, they'll flock to you
I put four drops in the soda, bubbles come out
Drugs will hit you good, I feel sick
Wrestling with all your demons, I feel like The Rock

(Fuck, ah, yeah)
Since I was a kid, I've been real (Child, ooh, no)
If I were you, I'd slit my wrists (
stupid bitch
)
XO tattooed all over his body, yeah (
Yes
)
Girl just wanna hang out and that's okay with me, yeah
Since I was little, I've been real (Ooh, no, ah)
You gotta let the girl go, she wants to be free (Oh, yeah)
Double O tattoo on your body, yeah
No matter what they say, I'm timeless, yeah (Shevet)

Oh, when I come home the city is on fire
Fill the sky (Yeah), I fill the Dome
One day they'll play this (Yes), what a performance
But it's gonna hurt 'cause we did it first
I feel like Skateboard P, BBC crew crawlin'
I feel like it's '03, linked Neptune drums (Yeah)
The wife is a masturbating hippie, she wants to fuck the crew
He fell in love with the cream (Yeah), he fell in love with the stage
Ooh, yeah, her man is quiet, not a peep (Oh, no)
Broke your heart, PTSD (Oh, no)
Hold your chest, let it breathe
Let it breathe, niggas make plans
And I have a priest holding the cross
Get off the road, send it to your God
I shed a tear, prayed for loss, ooh, yeah (Yeah)

Since my childhood, I've been genuine (
Homixide, Homixide, Homixide
, oh, oh)
If I were you, I'd slit my wrists (Ah)
XO tattooed all over your body, yeah (All over your body, yeah)
Girl just wanna hang out and that's okay with me, yeah
Since I was little, I've been real (Yeah, ooh, no)
You gotta let the girl go, she wants to be free (Oh, no)
Double O tattoo on your body, yeah (On your body, yeah)
No matter what they say, I'm timeless

Timeless (Oh), timeless, timeless
Timeless, timeless, timeless, we're timeless, oh
Timeless, timeless, timeless (Yeah), timeless
Timeless (Yeah), timeless, timeless, we're timeless, oh
Oh (Blatt)
Oh (Yah, it burns)",tr
84,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),USA,5IZXB5IKAD2qlvTPJYDCFB,"You have a lot of courage, don't you, dear?
I only get drunk because you make me do it
You're telling all your friends that I'm crazy
As if I were the only one
Why would you stone them if you
Did you have one or two big wishes?
Living in this big glass house with a beautiful view
I thought you knew that

I had help
It's not like I can make this whole mess on my own
Don't act like you didn't help me pull the bottle off the shelf
I was very involved the whole weekend, if you didn't notice
They say, ""Teamwork makes the dream happen""
Of course I had help (Help)

(Help)

Did you think I would take the blame for us breaking up?
Walk around like you're not to blame for something
You've already lost the game you've been running away from
It feels like it's reaching you, right?
You think you're so innocent
After all the shit you did
I'm not an angel, you're not sent from heaven
I can't get us out of this

I had help
It's not like I can make this whole mess on my own
Don't act like you didn't help me pull the bottle off the shelf
I was very involved the whole weekend, if you didn't notice
They say, ""Teamwork makes the dream happen""
Of course I had help (Help)

(Help)
(Help)
(Help)

It takes two to break a heart in half, ooh
Baby you blame me and baby I blame you
Aw, if that's not the truth (Oh)

I had help
It's not like I can make this whole mess on my own
Don't act like you didn't help me pull the bottle off the shelf
I was very involved the whole weekend, if you didn't notice
They say, ""Teamwork makes the dream happen""
Of course I had help (Help)

(Help)
(Help)
(Help)",pt
85,"Disco Lines, Tinashe",No Broke Boys,USA,3cZajhyr8LmtPfHZ9296tj,"No, that, no, that, no, that (Disco)

Ex on the line, just as I suspected
No one really gets over me
I'm unaffected, why would you try to ever put me second?
You just another groupie to me now

I'm out here single, and I need somethin' real
Now I got standards, give a fuck how you feel (Fuck how you feel)
I'm out here single, tell me what's the deal
Now I got standards, give a fuck how you feel

No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
(No, that, no, that, no, that, no, that)
No, that, no, that, no, that, no, that

No broke boys, no new friends
I'm that pressure, give me my tens
Ain't no lie, ain't no shade
Fuck on me, then you know he paid
Looks so good, makes no sense
Badass bitch, with my badass friends
No broke boys, ain't no shade
Fuck on me, then you know he paid

No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No, that, no, that, no, that, no, that
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No, that, no, that, no, that, no, that

No broke boys, no new friends
I'm that pressure, give me my tens
Ain't no lie, ain't no shade
Fuck on me, then you know he paid
Looks so good, makes no sense
Badass bitch, with my badass friends
No broke boys, ain't no shade
Fuck on me, then you know he paid

No broke boys, no new friends (No new friends)
No broke boys, no new friends
No broke boys, no new friends (No new friends)
(No, that, no, that, no, that, no, that)
No, that, no, that, no, that (Disco)

No broke boys, no new friends
I'm that pressure, give me my tens
Ain't no lie, ain't no shade
Fuck on me, then you know he paid
Looks so good, makes no sense
Badass bitch, with my badass friends
No broke boys, ain't no shade
Fuck on me, then you know he paid

No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends

(No, that, no, that, no, that, no, that)
No, that, no, that, no, that, no, that",en
86,Zach Bryan,Something in the Orange,USA,3WMj8moIAXJhHsyLaqIIHI,"It'll be fine by dusk light, I'm tellin' you, baby
These things eat at your bones and drive your young mind crazy
But when you place your head between my collar and jaw
I don't know much, but there's no weight at all

And I'm damned if I do and I'm damned if I don't
'Cause if I say I miss you, I know that you won't
But I miss you in the mornings when I see the sun
Somethin' in the orange tells me we're not done

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

I need to hear you say you've been waitin' all night
There's orange dancin' in your eyes from bulb light
Your voice only trembles when you try to speak
Take me back to us dancin', this wood used to creak

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home
If you leave today, I'll just stare at the way
The orange touches all things around
The grass, trees, and dew, how I just hate you
Please turn those headlights around
Please turn those headlights around",en
87,Coldplay,Sparks,USA,7D0RhFcb3CrfPuTJ0obrod,"Did I drive you away?
I know what you'll say
You say, ""Oh, sing one we know""
But I promise you this
I'll always look out for you
Yeah, that's what I'll do

I say, oh
I say, oh

My heart is yours
It's you that I hold onto
Yeah, that's what I do
And I know I was wrong
But I won't let you down
Oh, yeah, I will, yeah, I will, yes, I will

I said, oh
I cry, oh

Yeah, I saw sparks
Yeah, I saw sparks
And I saw sparks
Yeah, I saw sparks

Sing it out
La-la-la-la, oh-oh
La-la-la-la, oh-oh
La-la-la-la, oh-oh
La-la-la-la, oh-oh",en
88,Foo Fighters,Everlong,USA,5UWwZ5lm5PKu6eKsHAGxOk,"Hello, I've waited here for you
Everlong
Tonight, I throw myself into
And out of the red, out of her head, she sang

Do do do do do do dododo
Do do do do do do dododo
Do do do do do do do do
Do do dododo

Come down, and waste away with me
Down with me
Slow, how you wanted it to be
I'm over my head, out of her head, she sang

And I wonder
When I sing along with you
[Chorus: Dave Grohl & Louise Post, 
Dave Grohl
]
If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You gotta promise not to stop when I say when
She sang
Do do do do do do dododo
Do do do do do do dododo
Do do do do do do do do
Do do dododo

Breathe out, so I can breathe you in
Hold you in
And now, I know you've always been
Out of your head, out of my head, I sang

And I wonder
When I sing along with you
[Chorus: Dave Grohl & Louise Post, 
Dave Grohl
]
If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You gotta promise not to stop when I say when
She sang

So, dad would take the Sundays off
And that's the only time he could ever get any rest
And so, because we were loud on Sundays
He'd make us hold his construction boots over our head, 'til we'd sleep
And they were really heavy boots and I used to say, ""Dad, come on, please""
And like start crying, 'cause they're too heavy

And I wonder

If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You gotta promise not to stop when I say when",en
89,Teddy Swims,Lose Control,USA,17phhZDn6oGtzMe56NuWvj,"Something's got a hold of me lately
No, I don’t know myself anymore
Feels like the walls are all closin' in
And the devil's knockin’ at my door, woah
Out of my mind, how many times did I tell you
I'm no good at bein' alone?
Yeah, it's taken a toll on me, tryin' my best to keep
From tearin' the skin off my bones, don't you know

I lose control
When you're not next to me (When you’re not here with me)
I’m fallin' apart right in front of you, can’t you see?
I lose control
When you're not next to me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of me

Problematic
Problem is I want your body like a fiend, like a bad habit
Bad habits hard to break when I’m with you
Yeah, I know I can do it on my own
But I want that real full-moon black magic and it takes two
Problematic
Problem is when I'm with you, I'm an addict
And I need some relief, my skin in your teeth
Can't see the forest through the trees
Got me down on my knees, darlin', please, oh

I lose control
When you're not next to me (When you're not here with me)
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not next to me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of me, yeah


I lose control
When you're not here with me, mm
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not here with me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of me",en
90,Chris Stapleton,You Should Probably Leave,USA,2UikqkwBv7aIvlixeVXHWt,"I know it ain't all that late
But you should probably leave
And I recognize that look in your eyes
Yeah, you should probably leave

'Cause I know you and you know me
And we both know where this is gonna lead
You want me to say that I want you to stay
So you should probably leave
Yeah, you should probably leave

There's still time for you to finish your wine
Then you should probably leave
And it's hard to resist, alright, just one kiss
Then you should probably leave

'Cause I know you and you know me
And we both know where this is gonna lead
You want me to say that I want you to stay
So you should probably leave
Yeah, you should probably leave

Like a devil on my shoulder, you keep whisperin' in my ear
And it's gettin' kinda hard for me to do the right thing here
I wanna do the right thing, baby

Sun on your skin, 6AM
And I been watchin' you sleep
And honey, I'm so afraid you're gonna wake up and say
That you should probably leave

'Cause I know you and you know me
And we both know where this is gonna lead
I want you to stay but you'll probably say
That you should probably leave
Yeah, you should probably leave
Oh, you should probably leave",en
91,Childish Gambino,Les,USA,7ghKr0pCYyPPyp7t1FH8k4,"Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
But I kinda hope they catch us, anyway

A New York nine's an everywhere else six
Timewise, the opposite goes for chicks
I'm in a taxi, texting with my best friend
He's sleeping with this girl that he met up on the West End
He's lucky, she's a career woman, no kids
Most girls see the clothes and try and gold dig
Most hoes poke holes in Trojans
Most people don't fuck and hit the lotto but my folks did
I'm a mess
That don't rhyme with shit, it's just true
Don't bring your girlfriend here, it's just you
When I'm depressed, you're someone I run to
But, I guess meet me at Pianos
They cross-fadin' off of Nanos
Ugh, on that hipster shit
And you's a hipster, bitch
Yo, but not in the lame way
Like, you ain't livin' out in BK
Like, you ain't workin' on a screenplay
Like, your baby daddy ain't a DJ
Like, she listenin' to old Freeway
'Cause everybody listens to Biggie, but she different
Right, that’s why your friends need wristbands?
Fuck you
Can I have this dance?

Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
But I kinda hope they catch us
Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
But I kinda hope they catch us, anyway

We can pretend if you want to, like
We in love and started dating at your art school
'Cause either way, we both lying more than half of the time
Except for when I'm home workin' on your graphic design
Every time we see each other, I'm taking you home
Our relationship has gotten Sylvester Stallone
Yellow-911-Persian girl-in-the-back car
But me writin' a verse would be the only way they buyin' a bar
White boys used to trip and send me over a gin
But they busy showin' off each other Indian friend
She got ironic tattoos on her back
That ain't ironic bitch, I love Rugrats
Watching lames handle they fame, they bang any broad with bangs
In a band with an animal name
Hannibal came drinkin' a handle of Jameson
Analling anyone is the plan for the evening
I'm kidding, stop
Girl cryin' on Ludlow, she still look good though
Love is Eastside, who are you to hate?
Movie ass; not a 10, but a super 8
You ain't see me at the show? I was super great
Hotel penthouse, gon' and let it ruminate
City never sleeps, so I guess I'm never slept on
Did everything I could, then I kept going

Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
(I hope nobody catch us)
Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
But I kinda hope they catch us, anyway

Ooh, girl, I wanna know
Are you ready to cry? 'Cause I'm no good, no good
Ooh, girl, I wanna try
I'm an awful guy and I'm always away
And I'm tryin' to say I'm a piece of shit
Believe in this, I'm tellin' you
'Cause we barely knew what we had
I'm not that bad, the fun we had
Ooh

Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
But I kinda hope they catch us, anyway
Baby, you're the baddest
Baby, you're the baddest girl, and, uh
Nobody else matters
Nobody else matters girl, and, uh
We're kissing in the bathroom
We're kissing in the bathroom girl, and, uh
I hope nobody catch us
But I kinda hope they catch us, anyway",en
92,Drake,Passionfruit,USA,5mCPDVBb16L4XQwDdbRUpz,"Hold on, hold on, fuck that
Fuck that shit
Hold on, I got to start this motherfuckin' record over again, wait a minute
Fuck that shit
Still on this motherfuckin’ record
I'ma play this motherfucker for y'all
Ayy, y’all get some more drinks goin' on
I'll sound a whole lot better

Listen
Seein' you got ritualistic
Cleansin' my soul of addiction for now
'Cause I'm fallin' apart, yeah
Tension
Between us just like picket fences
You got issues that I won’t mention for now
’Cause we're fallin’ apart

Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can’t blame you, no, no

Listen
Harder buildin' trust from a distance
I think we should rule out commitment for now
'Cause we're fallin' apart
Leavin'
You're just doing that to get even
Don't pick up the pieces, just leave it for now
They keep fallin' apart

Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no

Um, trying to think of the right thing to say",en
93,"Nelly Furtado, Timbaland",Promiscuous,USA,2gam98EZKrF9XuOkU13ApN,"Am I distracting you?
No
I thought to myself

How are you, young lady?
The feeling you give really drives me crazy
You're dope, makes a player choke
I was at a loss for words when we spoke for the first time
Are you looking for a girl who will treat you well?
Are you looking for her with the light during the day?
You could be the guy if I play my cards right
I'll find out by the end of the night
You expect me to just let you get close?
But will you still respect me when you get it?
All I can do is try, give me a chance (Chance)
What's the problem? I don't see the ring on your hand (hand)
I'll be the first to admit
I'm curious about you, you seem so innocent
Do you want to immerse yourself in my world?
Boy, I'm tired of running, let's go for a second

Promiscuous girl wherever you are
I'm all alone and you are whoever I want
Promiscuous boy, you know
That I'm all yours, what are you waiting for?
Promiscuous girl, you tempt me
You know what I want and I have what you need
Promiscuous boy, let's get to the point
'Cause we're on the move, are you ready?

Roses are red, some diamonds are blue
Chivalry is dead, but you're still kinda cute
Hey, I can't stop thinking about you
Where are you? Do you mind if I come over?
I am not from this world, come with me to my planet
Get on my level, do you think you can handle it?
They call me Thomas, last name Crown
Pay attention to the charm, I'll put mine down
I'm a big girl, I can handle myself
But when I get lonely, I need your help
Take care of me, I don't speak for my health
I want you on my team -- just like everyone else
Shh, baby, we can keep it low (low)
Relax, no one has to know about it (knowledge)
If you're with me, girl, I know a place we can go
What kind of girl do you think I am?

Promiscuous girl wherever you are
I'm all alone and you are whoever I want
Promiscuous boy, you know
That I'm all yours, what are you waiting for?
Promiscuous girl, you tempt me
You know what I want and I have what you need
Promiscuous boy, let's get to the point
'Cause we're on the move, are you ready?

Don't be angry, don't be mean
Don't get angry, don't be mean
Hey, don't be angry, don't be mean
Don't get angry, don't be mean

Wait, I mean no harm
I can see you in my t-shirt
I can see you without clothes
See me feeling you up before you do that
Do that? -- You should know what I mean
Girl, I'm a freak, you shouldn't say things like that
I'm just trying to get into your head
To see if you can move me like you say
Everything's fine, it's fine
I have something you will like
Hey, is this the truth or are you talking trash?
Is your performance M.V.P. like Steve Nash?

Promiscuous girl wherever you are
I'm all alone and you are whoever I want
Promiscuous boy, I'm calling your name
But you drive me crazy the way you keep me waiting
Promiscuous girl, you tempt me
You know what I want and I have what you need
Promiscuous boy, we are one and the same
So we don't have to play games anymore

Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Mm, mm, mm, mm
Mm, mm, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah",de
94,"Kanye West, Dwele",Flashing Lights,USA,5TRPicyLGbAF2LGBFbHGvO,"Shining lights (Lights, lights)
Shining lights (Lights, lights)
Shining lights (Lights, lights)
Shining lights (Lights, lights)

She doesn't believe in falling stars
But she believes in shoes and cars
Hardwood floors in the new apartment
Haute couture from the store departments
Do you like ""I love to start fucking"" better?
I'm more into Florida trips
I ordered the hors d'oeuvres, I looked at the water
Straight from a page of your favorite author
And the weather is so windy
Man, why can't life always be this easy?
She continues in the mirror dancing so sleazy
I got a call like, ""Where are you, Yeezy?""
And I tried to fuck you with the ol-wu-wopte
Until the paparazzi dazzled me
Damn these niggas got me
I hate these niggas more than a Nazi

As I remember, I know you love to show off
But I never thought you'd take it this far
But what do I know?
Shining lights (Lights, lights)
What do I know? What do I know?
Shining lights (Lights, lights)

I know it's been a while, baby
We barely talked, I was doing my thing
I know I was disgusting, baby
Ayy, baby, you've been on my brain lately
And if someone had told me a month ago
However, up front, I wouldn't want to know
If someone had told me a year ago
It's going to get that hard
I feel like Katrina without even a FEMA
Like Martin without Gina
Like a flight without Visa
Seat back first class, I still see you
In my past, you are on the other side of the glass
From the museum of my memories
I'm just saying, hey, Mona Lisa
Come home, you know you can't wander without Caesar

As I remember, I know you love to show off
But I never thought you'd take it this far
But what do I know?
Shining lights (Lights, lights)
What do I know? What do I know?
Shining lights (Lights, lights)

As I remember, I know you love to show off
But I never thought you'd take it this far
But what do I know?
Shining lights (Lights, lights)
What do I know? What do I know?
Shining lights (Lights, lights)
Shining lights (Lights, lights, lights, lights...)",es
